candidate,wind_forecast,price_forecast,horizon_hours,is_oracle,hours,test_start,test_end,wind_only_revenue,baseload_revenue,dispatch_revenue,dispatch_cove_index,baseload_cove_index,revenue_gain_vs_baseload_pct,cove_reduction_vs_baseload_pct,final_soc,min_soc,max_soc,sum_charge_mwh,sum_discharge_mwh,max_wind_balance_violation,max_delivered_definition_violation,max_grid_violation,max_charge_mode_violation,max_discharge_mode_violation,max_available_energy_violation,max_soc_update_violation,max_soc_low_violation,max_soc_high_violation,mean_solver_runtime_seconds,total_solver_runtime_seconds,time_limit_fraction,gate_fraction
three_scenario_expected_nowcast_gated,"current measured wind + ridge residual scenarios [0.5, 0.1, 0.9]","current measured price + daily residual scenarios [0.5, 0.9, 0.1]",48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353949333.4519391,0.16571603463116696,0.2157464711807062,30.190462052083046,23.18945764245408,1000.0,199.99999999999994,1000.0,1566400.543842893,1161377.0864038651,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005868144545039858,513.679769039154,0.0,0.011823571746804208
seven_scenario_expected_nowcast_gated,"current measured wind + ridge residual scenarios [0.5, 0.1, 0.9, 0.1, 0.9, 0.25, 0.75]","current measured price + daily residual scenarios [0.5, 0.9, 0.1, 0.1, 0.9, 0.75, 0.25]",48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353220656.4961513,0.16605789871363058,0.2157464711807062,29.922438409728613,23.0310012465776,1000.0,199.99999999999994,1000.0,1597158.4456819845,1184187.7569123958,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010142278141245851,887.824601650238,0.0,0.008293635833990199
five_scenario_expected_nowcast_gated,"current measured wind + ridge residual scenarios [0.5, 0.1, 0.9, 0.1, 0.9]","current measured price + daily residual scenarios [0.5, 0.9, 0.1, 0.1, 0.9]",48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353117910.42855996,0.16610621627437003,0.2157464711807062,29.884646113629888,23.008605718866292,1000.0,199.99999999999994,1000.0,1562856.5137309781,1158748.7633284447,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007038457088844577,616.1254181861877,0.0,0.00821366964826302
ten_scenario_expected_nowcast_gated,"current measured wind + ridge residual scenarios [0.5, 0.05, 0.95, 0.05, 0.95, 0.25, 0.75, 0.25, 0.75, 0.5]","current measured price + daily residual scenarios [0.5, 0.95, 0.05, 0.05, 0.95, 0.75, 0.25, 0.25, 0.75, 0.95]",48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,341858797.7060715,0.17157692121304233,0.2157464711807062,25.74329324444502,20.47289567515943,1000.0,199.99999999999994,1000.0,1005840.1311980966,745654.357985659,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013327262862337645,1166.6286091804504,0.0,0.0010624078960896535
single_forecast_recourse_nowcast_gated,current measured wind + ridge future,current measured price + daily future,48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,337322348.04210514,0.17388435821239623,0.2157464711807062,24.074685842171185,19.403382469809603,678.7582611949084,199.99999999999994,1000.0,1829443.1016958756,1356692.9076127033,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011683476421029757,102.27364754676819,0.0,0.007322617864445892
