experiment,best_horizon_hours,best_cove,improvement_vs_baseload_pct,revenue_metric,final_soc,max_constraint_violation
old_ridge_rtm_reserve75,48,6.8189356959793415,6.25067240503085,7610575.508227702,2381.378,1.4210854715202004e-14
direct_dam_lz_reserve75,24,7.54203086885294,-3.690715703972551,6880908.591122329,480.0000000000006,2.8421709430404014e-14
direct_dam_hb_reserve75,24,7.580461084989437,-4.219068966527918,6846024.854973886,480.0,2.8421709430404014e-14
dam_augmented_hb_reserve75,48,7.803084092680821,-7.279774948920881,6650706.872258075,2383.378,2.8421709430404014e-14
dam_augmented_lz_reserve75,72,7.810253803087091,-7.3783468609620515,6644601.610704061,2383.378,2.8421709430404014e-14
