method,horizon_hours,hours,test_start,test_end,revenue_metric,baseload_revenue_metric,cove,baseload_cove,improvement_vs_baseload_pct,dispatch_cost,profit_metric,final_soc,solver_runtime_seconds,max_wind_only_violation,max_delivered_definition_violation,max_grid_violation,max_charge_limit_violation,max_discharge_limit_violation,max_available_energy_violation,max_soc_update_violation,max_soc_lower_violation,max_soc_upper_violation
causal_forecast,24,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7900680.729233292,7134863.365070878,6.5685510880068385,7.273583577515989,9.693055451903216,51896025.0,-43995344.270766705,480.0,2.613312005996704,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8137281.562102033,7134863.365070878,6.377562900329844,7.273583577515989,12.318833868299986,51896025.0,-43758743.437897965,2381.378,4.788360595703125,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
causal_forecast,72,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8121648.934790333,7134863.365070878,6.389838494212104,7.273583577515989,12.150064323667177,51896025.0,-43774376.065209664,2381.378,7.467897176742554,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
causal_forecast,168,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8069691.730717049,7134863.365070878,6.430979860415148,7.273583577515989,11.584437136399828,51896025.0,-43826333.26928295,2381.378,20.9591383934021,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
oracle,24,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,9932289.400946053,7134863.365070878,5.224981160441911,7.273583577515989,28.164967037798156,51896025.0,-41963735.59905395,1440.0000000001985,3.305887460708618,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oracle,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10370623.535232496,7134863.365070878,5.004137390938139,7.273583577515989,31.201211375272216,51896025.0,-41525401.4647675,2400.0,6.134045124053955,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oracle,72,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10529444.458964236,7134863.365070878,4.928657461678175,7.273583577515989,32.23893821865772,51896025.0,-41366580.541035764,2400.0,9.915352582931519,0.0,1.4210854715202004e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
oracle,168,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10605317.620040856,7134863.365070878,4.89339658266643,7.273583577515989,32.72371822614596,51896025.0,-41290707.37995914,2400.0,22.429104328155518,0.0,1.4210854715202004e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
