epoch,train_mse,val_mse,val_model_cove,val_teacher_cove,val_baseload_cove,val_model_improvement_vs_baseload_pct
0,2035.0799704159008,2045.3894856770833,8.07670818825525,6.8806414472978945,11.178137793443247,27.745494486632655
1,2017.8620461856617,2045.3493570963542,8.076349944902134,6.8806414472978945,11.178137793443247,27.748699343825646
2,2021.4680367264093,2045.53369140625,8.076113674125867,6.8806414472978945,11.178137793443247,27.750813030207333
3,2023.180960860907,2045.269181315104,8.076195605168028,6.8806414472978945,11.178137793443247,27.750080072324057
4,2022.9871850107231,2045.5575358072917,8.076135903314066,6.8806414472978945,11.178137793443247,27.750614167135424
