model,cove,improvement_vs_baseload_pct
Baseload,20.305371355569086,0.0
Original COVE-NN,14.829816781972468,26.966040057646403
COVE-DV h256,12.901128592853077,36.464453828790845
MILP teacher,12.725301155552582,37.33036971982068
