epoch,train_loss,val_action_mse,val_release_mse_scaled,val_model_cove,val_teacher_cove,val_baseload_cove,val_model_improvement_vs_baseload_pct,lr
0,1.2346850564846625,0.20032094977796078,0.024037976982071996,7.423494016836998,6.910178555243361,11.178137793505467,33.58917062956523,0.0008
1,0.6587764139358814,0.13099573086947203,0.01718320627696812,7.213924033115892,6.910178555243361,11.178137793505467,35.46399081511409,0.0008
2,0.4320252136542247,0.10874465759843588,0.01431363564915955,7.237463566117867,6.910178555243361,11.178137793505467,35.253405354129235,0.0008
3,0.36358990921423984,0.09543321374803782,0.013169800047762692,7.229023745513153,6.910178555243361,11.178137793505467,35.328908275641055,0.0008
4,0.3219574380379457,0.08257387857884169,0.012285951990634203,7.21699978832909,6.910178555243361,11.178137793505467,35.436475004609534,0.0008
5,0.2886605749909694,0.07901932019740343,0.011869853246025741,7.092319307437374,6.910178555243361,11.178137793505467,36.55187081735534,0.0008
6,0.27310346926634127,0.07114401087164879,0.0111092000734061,7.109372723052975,6.910178555243361,11.178137793505467,36.39931038259751,0.0008
7,0.24244758314811266,0.06417592754587531,0.01076184248086065,7.09579227816563,6.910178555243361,11.178137793505467,36.52080150337467,0.0008
8,0.23506651131006387,0.06276184460148215,0.010429626563563943,7.063761389892978,6.910178555243361,11.178137793505467,36.80735091674174,0.0008
9,0.21561404260305259,0.05514016654342413,0.009656420559622347,7.0578193236167825,6.910178555243361,11.178137793505467,36.86050884327622,0.0008
10,0.20211171301511618,0.05622624373063445,0.009782841545529664,7.048910429970352,6.910178555243361,11.178137793505467,36.94020810813595,0.0008
11,0.20417547684449416,0.060560307931154966,0.00970895029604435,7.067121818487738,6.910178555243361,11.178137793505467,36.777288408506124,0.0008
12,0.18849857667317757,0.05544867692515254,0.00937156192958355,7.048119939121211,6.910178555243361,11.178137793505467,36.94727986609549,0.0008
13,0.17339352833536956,0.050584882497787476,0.009064030484296381,7.064995719530307,6.910178555243361,11.178137793505467,36.79630856192262,0.0008
14,0.17202073564896217,0.048906938172876835,0.009152535116299987,7.050648778753654,6.910178555243361,11.178137793505467,36.92465678093445,0.0008
15,0.1683078150336559,0.045386561658233404,0.00908969237934798,7.052284828986593,6.910178555243361,11.178137793505467,36.91002062003572,0.0008
16,0.16263478363935763,0.046456513460725546,0.008654408156871796,7.0598105491478895,6.910178555243361,11.178137793505467,36.84269527210819,0.0008
17,0.15090839392863786,0.04836940485984087,0.00902881083311513,7.048909946139597,6.910178555243361,11.178137793505467,36.94021243650229,0.0004
18,0.14710272275484526,0.04414817225188017,0.00842449115589261,7.052349240694213,6.910178555243361,11.178137793505467,36.909444390713716,0.0004
19,0.1404559050615017,0.043541982769966125,0.008445610757917166,7.025853180969531,6.910178555243361,11.178137793505467,37.146479040081495,0.0004
20,0.1420236906180015,0.042926668189466,0.008540774055290967,7.024472965890683,6.910178555243361,11.178137793505467,37.15882649101066,0.0004
21,0.13934376262701476,0.04276035074144602,0.00879574939608574,7.01802793508511,6.910178555243361,11.178137793505467,37.21648395529168,0.0004
22,0.139316919617928,0.04207590036094189,0.00819345418130979,7.061365883577685,6.910178555243361,11.178137793505467,36.828781197523256,0.0004
23,0.14065064633121857,0.04009323753416538,0.00816122576361522,7.041819289286638,6.910178555243361,11.178137793505467,37.00364569331077,0.0004
24,0.13448122688210928,0.040897679049521685,0.008299607899971306,7.046282273730527,6.910178555243361,11.178137793505467,36.96371968303666,0.0004
25,0.13217721277704605,0.03861059993505478,0.007967851241119206,7.038896798587276,6.910178555243361,11.178137793505467,37.02979039427393,0.0004
26,0.1291902816066375,0.03930116584524512,0.007990663638338447,7.071131484678798,6.910178555243361,11.178137793505467,36.741417798703935,0.0002
27,0.12107022808721432,0.038115125615149736,0.00797945016529411,7.038306802997236,6.910178555243361,11.178137793505467,37.0350685148423,0.0002
28,0.12143425500163665,0.03786301566287875,0.007983685936778784,7.030924068828721,6.910178555243361,11.178137793505467,37.10111470522657,0.0002
29,0.1201282086280676,0.04015974188223481,0.008023322559893131,7.074127589786998,6.910178555243361,11.178137793505467,36.714614540741415,0.0002
30,0.12318096940334027,0.038944849744439125,0.007991026504896581,7.060090109314743,6.910178555243361,11.178137793505467,36.840194317369416,0.0002
31,0.11865190473886636,0.036420916207134724,0.007847825647331774,7.030299312833672,6.910178555243361,11.178137793505467,37.10670379355766,0.0001
32,0.11965713993861125,0.037369269877672195,0.007866329455282539,7.030949581255873,6.910178555243361,11.178137793505467,37.100886470187575,0.0001
33,0.11331044796567696,0.03617786895483732,0.007739443040918559,7.034195983214143,6.910178555243361,11.178137793505467,37.07184404811119,0.0001
34,0.11458622091091596,0.0371293630450964,0.0077733127400279045,7.040216083554136,6.910178555243361,11.178137793505467,37.0179880261941,0.0001
35,0.11853700847579883,0.036290931049734354,0.007674981898162514,7.042861933673354,6.910178555243361,11.178137793505467,36.99431816124794,0.0001
36,0.11570774391293526,0.03724018484354019,0.0077623865799978375,7.04099852667019,6.910178555243361,11.178137793505467,37.01098826352783,5e-05
37,0.11279840538134941,0.03625487210229039,0.007735697960015386,7.030616008852822,6.910178555243361,11.178137793505467,37.103870620224136,5e-05
38,0.11326227595026676,0.03592392150312662,0.007713572937063873,7.023365149431526,6.910178555243361,11.178137793505467,37.16873705464498,5e-05
39,0.11777786623973113,0.03575216280296445,0.007691794075071812,7.028579641505431,6.910178555243361,11.178137793505467,37.12208803161241,5e-05
