model,split,normalized_rmse,normalized_mae,rmse_mw,mae_mw
causal_lag_ridge,train,0.08620902856735106,0.05565795309668797,21.054744837975587,13.593286226851008
causal_lag_ridge,validation,0.08621269439498015,0.0544698167993151,21.05564013939161,13.303108887079928
causal_lag_ridge,test,0.09351558107604045,0.059186710552645815,22.83921685062029,14.455111131562136
speed_power_curve,train,0.16994080948690193,0.12606300046185248,41.50447396017657,30.788240539797773
speed_power_curve,validation,0.17220688349162905,0.12484555791799806,42.05791494827708,30.490905764754753
speed_power_curve,test,0.17956215027676728,0.12849091107804486,43.854284399944596,31.381206721679824
lag1_persistence,train,0.09598258483613421,0.05935971945518542,23.441730711944224,14.49736492282048
lag1_persistence,validation,0.0954536285025647,0.05804663363205684,23.312544235552874,14.17667128532361
lag1_persistence,test,0.10342443704510769,0.06424766380536173,25.25924683508961,15.69114268351969
train_mean,train,0.3057079238106071,0.2631149612995385,74.66274052434076,64.26030388322499
train_mean,validation,0.3087046193572102,0.2670790874607041,75.3946204809921,65.2284584514403
train_mean,test,0.292777710321606,0.25171176197091183,71.50480741413553,61.475311914393814
