datetime,speed,power,nwpdb,pluswind,rnn_preds
2018-07-04 03:00:00,0.6246460377056702,2,0.0,0.0,0.0
2018-07-04 04:00:00,1.7907131323328422,11,0.0,0.0,0.0
2018-07-04 05:00:00,4.505780655280492,11,0.0,8.309433737,0.0
2018-07-04 06:00:00,4.50084667433957,21,4.562103111,8.277653307,0.0
2018-07-04 07:00:00,5.659722000032087,32,3.517243222,17.82637089,0.0
2018-07-04 08:00:00,5.639633973987416,26,10.01442391,17.62249573,1.4156594
2018-07-04 09:00:00,5.055205638220529,17,9.507719079,12.30335023,0.51045364
2018-07-04 10:00:00,4.736809976695798,14,7.070945034,9.877007147,0.0
2018-07-04 11:00:00,4.969562176411264,20,6.948104978,11.61937973,0.0
2018-07-04 12:00:00,5.823403581235401,24,8.530215592,19.54201258,0.0
2018-07-04 13:00:00,6.865946348132515,43,14.48228428,32.90839919,5.6572094
2018-07-04 14:00:00,7.400793663071547,42,22.02400195,41.56451059,15.947825
2018-07-04 15:00:00,6.313734798596862,32,30.00032372,25.284038,17.193718
2018-07-04 16:00:00,5.7866606494912745,29,21.9698974,19.1483807,12.417973
2018-07-04 17:00:00,5.27954388786048,34,19.04754871,14.20819488,5.365623
2018-07-04 18:00:00,5.020526368658178,22,14.14069226,12.0235623,0.0
2018-07-04 19:00:00,4.875200209717796,10,11.49785673,10.89272305,0.0
2018-07-04 20:00:00,4.23702597990053,12,10.60089666,6.67762267,0.0
2018-07-04 21:00:00,4.193200788499261,14,6.087255842,6.430219384,0.0
2018-07-04 22:00:00,4.190087956642192,18,5.183956927,6.412840812,0.0
2018-07-04 23:00:00,4.713651717094434,30,5.205253907,9.712738336,0.0
2018-07-05 00:00:00,4.57314241322725,28,7.389809787,8.750328542,0.0
2018-07-05 01:00:00,3.8324896409662785,18,6.477159585,4.582052177,0.0
2018-07-05 02:00:00,2.895530217931878,9,1.991646004,1.191803956,0.0
2018-07-05 03:00:00,3.078230110602745,5,0.30381781,1.708463735,0.0
2018-07-05 04:00:00,3.701039987739805,23,0.473181905,3.988391648,0.0
2018-07-05 05:00:00,6.199696124604296,55,5.228238402,23.86548806,0.0
2018-07-05 06:00:00,7.636079677666709,81,17.16233386,45.7937107,13.875693
2018-07-05 07:00:00,7.044101600580972,92,24.61753441,35.64771458,23.451569
2018-07-05 08:00:00,7.678329084444693,82,18.57917725,46.58130429,29.821657
2018-07-05 09:00:00,8.158409698150217,85,22.91592934,56.15131232,35.400963
2018-07-05 10:00:00,8.03726017711774,94,27.88343479,53.62693718,39.514053
2018-07-05 11:00:00,7.534067217031126,94,23.14360048,43.92758268,37.348564
2018-07-05 12:00:00,6.535699606590931,94,15.56645012,28.19541464,29.97837
2018-07-05 13:00:00,6.464424006162029,98,10.89867302,27.23856778,22.152468
2018-07-05 14:00:00,5.44013349044078,81,14.5008896,15.67533418,13.731989
2018-07-05 15:00:00,2.4983094335678664,57,7.48211291,0.0,0.0
2018-07-05 16:00:00,2.218463533858269,7,0.0,0.0,0.0
2018-07-05 17:00:00,1.6159769180390289,16,0.0,0.0,0.0
2018-07-05 18:00:00,1.2397365413044588,2,0.0,0.0,0.0
2018-07-05 19:00:00,2.066749778826215,1,0.0,0.0,0.0
2018-07-05 20:00:00,2.323565301994829,1,0.0,0.0,0.0
2018-07-05 21:00:00,2.356094571906359,2,0.0,0.0,0.0
2018-07-05 22:00:00,3.2127651457609394,2,0.0,2.130150149,0.0
2018-07-05 23:00:00,3.119337435495363,3,0.310426407,1.833430939,0.0
2018-07-06 00:00:00,3.303217442399266,8,0.432128719,2.434752102,0.0
2018-07-06 01:00:00,2.0678309343163006,0,0.94496487,0.0,0.0
2018-07-06 02:00:00,2.031213531209901,0,0.0,0.0,0.0
2018-07-06 03:00:00,1.453731901531244,0,0.0,0.0,0.0
2018-07-06 04:00:00,0.6879696782251987,0,0.0,0.0,0.0
2018-07-06 05:00:00,1.2451857062191247,2,0.0,0.0,0.0
