method,horizon_hours,direct_reserve_mw,hours,test_start,test_end,revenue_metric,baseload_revenue_metric,cove,baseload_cove,improvement_vs_baseload_pct,dispatch_cost,profit_metric,final_soc,solver_runtime_seconds,max_wind_only_violation,max_delivered_definition_violation,max_grid_violation,max_charge_limit_violation,max_discharge_limit_violation,max_available_energy_violation,max_soc_update_violation,max_soc_lower_violation,max_soc_upper_violation
causal_forecast_direct_reserve,24,75.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7380822.51043256,7465407.679195175,6.966259509333016,6.887329829727811,-1.146012773550064,51416725.0,-44035902.489567444,200.0,3.0039122104644775,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
causal_forecast_direct_reserve,48,75.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7536863.07165293,7465407.679195175,6.822032523502335,6.887329829727811,0.9480786870934104,51416725.0,-43879861.928347066,981.3779999999999,4.700844764709473,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
causal_forecast_direct_reserve,72,75.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7528047.693311071,7465407.679195175,6.8300211548454355,6.887329829727811,0.8320884333869708,51416725.0,-43888677.30668893,981.3779999999999,6.539990425109863,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
causal_forecast_direct_reserve,168,75.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7508616.744071491,7465407.679195175,6.847696020787934,6.887329829727811,0.5754597198003432,51416725.0,-43908108.25592851,981.378,15.311163663864136,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
oracle,24,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,9819350.073485963,7465407.679195175,5.236265599577159,6.887329829727811,23.97248673969637,51416725.0,-41597374.92651404,599.9999999999993,3.6106631755828857,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
oracle,48,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10073630.566094294,7465407.679195175,5.10409079056937,6.887329829727811,25.89158764346436,51416725.0,-41343094.433905706,999.9999999999999,5.7431557178497314,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
oracle,72,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10112687.753542315,7465407.679195175,5.084377788881055,6.887329829727811,26.177808895759092,51416725.0,-41304037.24645768,999.9999999999999,8.02173662185669,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
oracle,168,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10116705.89692372,7465407.679195175,5.082358380669616,6.887329829727811,26.20712952162374,51416725.0,-41300019.10307628,1000.0,17.695703983306885,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
