case,storage_type,storage_rating_mw,storage_duration_h,storage_capacity_mwh,hours,horizon_hours,step_hours,terminal_policy,baseload_cove,gurobi_cove,improvement_vs_baseload_pct,delta_vs_cove_nn_32_3_pct_points,runtime_seconds_sum,max_constraint_violation
Tuned Li-ion 100MW 2h,battery-li,100.0,2.0,200.0,385572,168,24,equal-initial,1.4742631889787547,1.1517085103976288,21.879043103868355,-10.420956896131642,74.25967168807983,5.400124791776761e-13
Tuned CAES 100MW 24h,caes,100.0,24.0,2400.0,385572,168,24,equal-initial,1.7430621023816228,1.1651311110450828,33.15607576728834,0.8560757672883454,107.60259962081908,4.092726157978177e-12
Tuned CAES 100MW 10h,caes,100.0,10.0,1000.0,385572,168,24,equal-initial,1.66538987620732,1.208542068872878,27.431883300194293,-4.868116699805704,118.63484954833984,4.999999999970306e-09
Tuned Li-ion 100MW 4h,battery-li,100.0,4.0,400.0,385572,168,24,equal-initial,1.617585262987675,1.2095565436785205,25.224557162169425,-7.075442837830572,105.0319881439209,1.3073986337985845e-12
Original CAES 100MW 4h,caes,100.0,4.0,400.0,385572,168,24,equal-initial,1.6153787517787868,1.2600862352023467,21.99437848152991,-10.305621518470083,75.73406863212585,8.526512829121202e-13
