hour,datetime,wind_generation_mw,electricity_price_lmp,price,delivered_power_mw,gurobi_direct,stored_energy_mw,released_energy_mw,net_storage_power_mw,soc_mwh,gurobi_storage_end,gurobi_curtailment,gurobi_mode_binary_charge,user_load_zonal
13,2020-01-06 13:00:00,91.222,18.934166666666663,0.7548085234155069,91.222,91.222,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1400.29076
14,2020-01-06 14:00:00,176.697,28.4525,1.134255860876531,176.697,176.697,0.0,0.0,0.0,200.0,200.0,0.0,0.0,1366.976838
15,2020-01-06 15:00:00,215.147,19.238333333333333,0.7669340949593062,215.147,215.147,0.0,0.0,0.0,200.0,200.0,0.0,0.0,1316.206881
16,2020-01-06 16:00:00,214.18,27.8425,1.1099382763010217,214.18,214.18,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1252.545005
17,2020-01-06 17:00:00,196.085,21.87076923076923,0.8718758696732483,196.085,196.085,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1197.047332
18,2020-01-06 18:00:00,159.326,25.402500000000003,1.0126679379989836,159.326,159.326,0.0,0.0,0.0,200.0,200.0,0.0,1.0,1154.108303
19,2020-01-06 19:00:00,112.877,21.21833333333333,0.8458665825978451,112.877,112.877,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1120.422575
20,2020-01-06 20:00:00,67.901,31.50166666666666,1.2558105630101224,67.901,67.901,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1105.662208
21,2020-01-06 21:00:00,32.183,19.8575,0.7916171077183275,32.183,32.183,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1109.915809
22,2020-01-06 22:00:00,7.659,25.111666666666665,1.001073898358474,7.659,7.659,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1140.058052
23,2020-01-06 23:00:00,0.088,20.243333333333336,0.8069983121697768,0.088,0.088,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1207.717239
24,2020-01-07 00:00:00,0.0,20.950833333333335,0.8352027237880931,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,1233.510444
25,2020-01-07 01:00:00,0.0,20.88083333333333,0.8324121812958214,0.0,0.0,0.0,0.0,0.0,200.0,200.0,0.0,0.0,1233.539464
26,2020-01-07 02:00:00,0.127,19.326666666666668,0.7704554938186013,0.127,0.127,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1218.103484
27,2020-01-07 03:00:00,0.194,19.519166666666663,0.778129485672348,0.194,0.194,0.0,0.0,0.0,200.0,200.0,0.0,-0.0,1187.151809
