hour,datetime,wind_generation_mw,electricity_price_lmp,price,delivered_power_mw,gurobi_direct,stored_energy_mw,released_energy_mw,net_storage_power_mw,soc_mwh,gurobi_storage_end,gurobi_curtailment,gurobi_mode_binary_charge,user_load_zonal
155,2020-01-12 11:00:00,159.87,19.415,0.7739768926778964,159.87,159.87,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,0.0,1614.548409
156,2020-01-12 12:00:00,112.509,21.79785714285714,0.8689692371086921,112.509,112.509,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,-0.0,1685.516421
157,2020-01-12 13:00:00,77.409,22.146666666666665,0.8828744913643992,77.409,77.409,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,-0.0,1645.098735
158,2020-01-12 14:00:00,41.485,20.5175,0.8179279369311737,41.485,41.485,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,-0.0,1581.720603
159,2020-01-12 15:00:00,23.145,20.494166666666665,0.8169977561004165,23.145,23.145,0.0,0.0,0.0,552.2289999999999,552.2289999999999,0.0,-0.0,1503.334875
160,2020-01-12 16:00:00,16.897,9.296666666666669,0.3706106195688305,0.0,0.0,16.897,0.0,-16.897,552.2289999999999,569.126,0.0,1.0,1414.443308
161,2020-01-12 17:00:00,10.309,21.332500000000003,0.8504178245197644,10.309,10.309,0.0,0.0,0.0,569.126,569.126,0.0,-0.0,1313.985727
162,2020-01-12 18:00:00,6.519,16.463076923076922,0.6562987958197404,6.519,6.519,0.0,0.0,0.0,569.126,569.126,0.0,-0.0,1256.265933
163,2020-01-12 19:00:00,2.481,18.452142857142853,0.7355926959474667,2.481,2.481,0.0,0.0,0.0,569.126,569.126,0.0,-0.0,1209.625115
164,2020-01-12 20:00:00,0.504,12.1025,0.4824648644673829,0.0,0.0,0.504,0.0,-0.504,569.126,569.63,0.0,1.0,1180.740621
165,2020-01-12 21:00:00,0.442,-0.0291666666666666,-0.0011627260384464,0.0,0.0,0.442,0.0,-0.442,569.63,570.072,0.0,1.0,1151.005399
166,2020-01-12 22:00:00,5.788,25.328333333333333,1.0097112917869338,5.788,5.788,0.0,0.0,0.0,570.072,570.072,0.0,-0.0,1169.721267
167,2020-01-12 23:00:00,29.928,0.4225,0.0168429171854963,0.0,0.0,29.928,0.0,-29.928,570.072,600.0,0.0,1.0,1286.775351
