candidate,wind_forecast,price_forecast,horizon_hours,is_oracle,hours,test_start,test_end,wind_only_revenue,baseload_revenue,dispatch_revenue,dispatch_cove_index,wind_only_cove_index,baseload_cove_index,revenue_gain_vs_wind_only_pct,revenue_gain_vs_baseload_pct,cove_reduction_vs_wind_only_pct,cove_reduction_vs_baseload_pct,final_soc,min_soc,max_soc,sum_charge_mwh,sum_discharge_mwh,max_wind_balance_violation,max_delivered_definition_violation,max_grid_violation,max_charge_mode_violation,max_discharge_mode_violation,max_available_energy_violation,max_soc_update_violation,max_soc_low_violation,max_soc_high_violation,100mw_baseload_revenue,100mw_baseload_cove,revenue_gain_vs_100mw_baseload_pct,cove_reduction_vs_100mw_baseload_pct,mean_solver_runtime_seconds,total_solver_runtime_seconds,time_limit_fraction,gate_fraction
single_forecast_recourse,causal ridge,causal ridge price,48,False,1152,2014-01-01 00:00:00,2014-02-17 23:00:00,80711.72424353266,77213.74921120386,74763.57982274954,784.5408170537074,527.297370969128,759.6455372159164,-7.369616343265939,-3.173229396946309,-48.78526999134999,-3.277223207159441,1000.0,199.99999999999994,1000.0,2498.996228301129,1154.447925565621,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,46.97820932553344,0.0,0.0,56662.97069785332,1035.1571630927947,31.94433490156201,24.21046339382006,0.0018309056758880615,2.109203338623047,0.0,0.0
three_scenario_expected_gated,"causal ridge residual scenarios [0.5, 0.55, 0.5]","causal ridge price residual scenarios [0.5, 0.6, 0.3]",48,False,1152,2014-01-01 00:00:00,2014-02-17 23:00:00,80711.72424353266,77213.74921120386,72643.56013146666,807.4367486099111,527.297370969128,759.6455372159164,-9.996272769147907,-5.918879896942064,-53.12739889560052,-6.291251518326346,200.00000000000006,199.99999999999994,1000.0,6747.359646411167,3931.0478055261424,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,46.9782093255335,0.0,0.0,56662.97069785332,1035.1571630927947,28.202879652793712,21.998631956765973,0.003472199042638143,3.9999732971191406,0.0,0.0
