epoch,train_loss,val_loss
0,0.6670432,0.65839326
1,0.58802414,0.6919846
2,0.5596203,0.5617534
3,0.5742618,0.54228157
4,0.59694815,0.5691443
5,0.5316529,0.39130968
6,0.489203,3.4014585
7,0.86635303,2.15387
8,0.45863903,0.38403207
9,0.43293694,0.4074173
10,0.42847538,0.4102612
