power_generated,price,optimal_release,optimal_direct,optimal_charge,optimal_discharge_before_rte,optimal_storage,baseload_release,optimal_curtailment
78.207,0.9807224629176113,0.0,0.0,78.207,0.0,-0.0,78.207,0.0
106.85,0.9819031316263547,0.0,0.0,106.85,0.0,78.207,106.85,0.0
147.821,0.9708343624818864,0.0,0.0,147.821,0.0,185.057,118.99310714285714,0.0
129.518,0.9894003779268747,0.0,0.0,129.518,0.0,332.878,118.99310714285714,0.0
103.062,1.0206880987085716,0.0,0.0,103.062,0.0,462.39599999999996,118.99310714285714,0.0
102.086,1.1331763099340886,0.0,0.0,102.086,0.0,565.458,118.81770499999999,0.0
133.037,1.2542538860157124,133.037,133.037,0.0,0.0,667.544,118.99310714285714,0.0
156.648,1.3082694794407181,156.648,156.648,0.0,0.0,667.544,118.99310714285714,0.0
142.529,1.4222040098344453,142.529,142.529,0.0,0.0,667.544,118.99310714285714,0.0
125.103,1.478285773499751,236.67984999999993,125.103,0.0,134.42993975903607,667.544,118.99310714285714,0.0
117.726,1.5034930504314203,249.0,117.726,0.0,158.16144578313254,533.1140602409639,118.99310714285714,0.0
124.698,1.4823295638271972,249.0,124.698,0.0,149.76144578313256,374.9526144578314,118.99310714285714,0.0
143.414,1.3364284281442451,143.414,143.414,0.0,0.0,225.19116867469882,118.99310714285714,0.0
148.481,1.1699836569291604,0.0,0.0,148.481,0.0,225.19116867469882,118.99310714285714,0.0
153.698,1.0588532147186984,0.0,0.0,153.698,0.0,373.6721686746988,118.99310714285714,0.0
139.611,1.057111728373302,0.0,0.0,139.611,0.0,527.3701686746988,118.99310714285714,0.0
153.178,1.1181227838976113,0.0,0.0,153.178,0.0,666.9811686746988,118.99310714285714,0.0
189.489,1.4218793259395406,189.489,189.489,0.0,0.0,820.1591686746988,118.99310714285714,0.0
215.445,1.6181654987681122,249.0,215.445,0.0,40.427710843373504,820.1591686746988,118.99310714285714,0.0
225.276,1.5916594862568254,249.0,225.276,0.0,28.58313253012047,779.7314578313253,118.99310714285714,0.0
225.568,1.529379211870617,249.0,225.568,0.0,28.231325301204805,751.1483253012049,118.99310714285714,0.0
224.474,1.3523674557122796,224.474,224.474,0.0,0.0,722.917,118.99310714285714,0.0
225.458,1.2453693539824193,225.458,225.458,0.0,0.0,722.917,118.99310714285714,0.0
224.708,1.0243186549879573,0.0,0.0,224.708,0.0,722.917,118.99310714285714,0.0
223.074,0.9790104932899338,0.0,0.0,223.074,0.0,947.625,118.99310714285714,0.0
224.455,0.9735794172297145,0.0,0.0,224.455,0.0,1170.699,118.99310714285714,0.0
206.041,0.9599722103614481,0.0,0.0,206.041,0.0,1395.154,118.99310714285714,0.0
170.795,0.9674399399442495,0.0,0.0,170.795,0.0,1601.195,118.99310714285714,0.0
128.266,0.9947724205516564,0.0,0.0,128.266,0.0,1771.99,118.99310714285714,0.0
99.744,1.0747627255690144,0.0,0.0,99.744,0.0,1900.256,118.99310714285714,0.0
76.244,1.3370777959340538,76.244,76.244,-0.0,0.0,2000.0,118.99310714285716,0.0
52.697,1.4799977431274292,52.697,52.697,0.0,0.0,2000.0,118.99310714285714,0.0
55.735,1.564651689544323,55.735,55.735,0.0,0.0,2000.0,118.99310714285716,0.0
89.634,1.6347538941259554,246.33080999999993,89.634,0.0,188.7913373493975,2000.0,118.99310714285714,0.0
108.352,1.7514334792675106,249.0,108.352,0.0,169.455421686747,1811.2086626506025,118.99310714285714,0.0
79.765,1.7230088801045162,249.0,79.765,0.0,203.89759036144582,1641.7532409638554,118.99310714285716,0.0
53.444,1.6114356871282756,53.444,53.444,0.0,0.0,1437.8556506024097,118.99310714285714,0.0
32.376,1.5665112427605934,32.376,32.376,0.0,0.0,1437.8556506024097,118.99310714285716,0.0
13.977,1.5850182247701445,13.977,13.977,0.0,0.0,1437.8556506024097,118.99310714285714,0.0
4.409,1.4529309129794892,4.409,4.409,0.0,0.0,1437.8556506024097,118.99310714285714,0.0
46.014,1.5698761485805117,46.014,46.014,0.0,0.0,1437.8556506024097,118.99310714285716,0.0
172.005,2.00002327589341,249.0,172.005,0.0,92.76506024096386,1437.8556506024097,118.99310714285714,0.0
194.819,1.8829009399860759,249.0,194.819,0.0,65.27831325301206,1345.090590361446,118.99310714285714,0.0
201.849,1.9050975117104496,249.0,201.849,0.0,56.808433734939776,1279.8122771084338,118.99310714285714,0.0
124.74,1.9711264092469178,249.0,124.74,0.0,149.710843373494,1223.003843373494,118.99310714285714,0.0
156.952,1.4741829497368686,156.952,156.952,0.0,0.0,1073.293,118.99310714285714,0.0
151.143,1.1640212799500067,0.0,0.0,151.143,0.0,1073.293,118.99310714285714,0.0
149.728,1.0142239375282023,0.0,0.0,149.728,0.0,1224.436,118.99310714285714,0.0
144.103,1.23202779757362,0.0,0.0,144.103,0.0,1374.164,118.99310714285714,0.0
165.382,1.1990576238819641,0.0,0.0,165.382,0.0,1518.267,118.99310714285714,0.0
