power_generated,price,optimal_release,optimal_direct,optimal_charge,optimal_discharge_before_rte,optimal_storage,baseload_release,optimal_curtailment
172.005,2.00002327589341,227.005,172.005,0.0,100.0,400.0,118.99310714285714,0.0
194.819,1.8829009399860759,194.819,194.819,0.0,0.0,300.0,118.99310714285714,0.0
201.849,1.9050975117104496,201.849,201.849,0.0,0.0,300.0,118.99310714285714,0.0
124.74,1.9711264092469178,124.74,124.74,0.0,0.0,300.0,118.99310714285714,0.0
156.952,1.4741829497368686,156.952,156.952,0.0,0.0,300.0,118.99310714285714,0.0
151.143,1.1640212799500067,151.143,151.143,0.0,0.0,300.0,118.99310714285714,0.0
149.728,1.0142239375282023,49.72800000000001,49.72800000000001,100.0,0.0,300.0,118.99310714285714,0.0
144.103,1.23202779757362,144.103,144.103,0.0,0.0,400.0,118.99310714285714,0.0
165.382,1.1990576238819641,165.382,165.382,0.0,0.0,400.0,118.99310714285714,0.0
171.34,1.1601545899288728,171.34,171.34,-0.0,0.0,400.0,118.99310714285714,0.0
145.011,1.2273641561740842,145.011,145.011,0.0,0.0,400.0,118.99310714285714,0.0
142.778,1.3713467052053279,142.778,142.778,0.0,0.0,400.0,118.99310714285714,0.0
125.674,1.6250724107142602,125.674,125.674,0.0,0.0,400.0,118.99310714285714,0.0
76.223,1.8989875511427032,76.223,76.223,0.0,0.0,400.0,118.99310714285714,0.0
49.779,1.8381535959247053,49.779,49.779,0.0,0.0,400.0,104.77900000000001,0.0
18.97,1.882015438454518,18.97,18.97,0.0,0.0,400.0,73.97,0.0
14.922,2.4698408718200824,69.92200000000001,14.922,0.0,100.0,400.0,69.92200000000001,0.0
8.073,2.368893697222531,13.65199999999999,8.073,0.0,10.143636363636347,300.0,20.302892857142847,0.0
0.0,2.300621529139451,0.0,-0.0,0.0,0.0,289.85636363636365,0.0,0.0
0.0,2.025023935801049,0.0,-0.0,0.0,0.0,289.85636363636365,0.0,0.0
0.005,1.7585765249554075,0.005,0.005,0.0,0.0,289.85636363636365,0.005,0.0
0.078,1.5621132518205245,0.078,0.078,0.0,0.0,289.85636363636365,0.078,0.0
0.38,1.4859896368243009,0.38,0.38,0.0,0.0,289.85636363636365,0.38,0.0
0.484,1.5288479109516826,0.484,0.484,0.0,0.0,289.85636363636365,0.484,0.0
0.007,1.8167834922964514,0.007,0.007,0.0,0.0,289.85636363636365,0.007,0.0
2.738,2.333857353290574,2.738,2.738,0.0,0.0,289.85636363636365,2.738,0.0
20.141,2.3360120736840306,20.141,20.141,0.0,0.0,289.85636363636365,20.141,0.0
66.635,2.392507071397397,121.63500000000002,66.635,0.0,100.0,289.85636363636365,66.635,0.0
143.973,1.9635701295109609,143.973,143.973,0.0,0.0,189.85636363636362,118.99310714285714,0.0
198.63,1.822775385993324,198.63,198.63,0.0,0.0,189.85636363636362,118.99310714285714,0.0
