,date,hour,minute,lmp
0,08/28/2020 ,11,15,21.51
1,10/16/2020 ,17,15,19.29
2,11/16/2020 ,09,45,18.7
3,08/11/2020 ,03,00,15.52
4,11/16/2020 ,22,20,16.39
5,11/26/2020 ,08,20,17.27
6,11/18/2020 ,12,50,0.03
7,10/16/2020 ,07,25,20.21
8,05/02/2020 ,05,35,-0.36
9,01/16/2020 ,17,50,43.54
10,10/01/2020 ,10,15,13.85
11,02/20/2020 ,09,05,4.64
12,09/10/2020 ,10,35,13.83
13,02/24/2020 ,23,25,11.46
14,12/07/2020 ,23,35,18.37
15,05/18/2020 ,16,40,33.88
16,03/21/2020 ,13,20,21.42
17,06/02/2020 ,12,20,19.34
18,07/25/2020 ,03,40,12.79
19,08/25/2020 ,15,50,42.68
20,03/26/2020 ,20,55,17.25
21,10/02/2020 ,22,25,-0.74
22,07/03/2020 ,21,55,15.38
23,07/17/2020 ,09,30,17.58
24,01/30/2020 ,11,30,16.95
25,11/13/2020 ,08,00,29.17
26,12/31/2020 ,00,40,12.91
27,04/23/2020 ,12,30,19.2
28,10/12/2020 ,11,45,5.81
29,02/19/2020 ,23,25,16.1
30,06/01/2020 ,17,30,16.89
31,03/18/2020 ,09,35,16.75
32,04/03/2020 ,18,05,18.79
33,10/04/2020 ,22,05,16.35
34,07/17/2020 ,11,45,24.38
35,11/10/2020 ,02,25,15.94
36,01/18/2020 ,04,40,14.09
37,07/21/2020 ,15,20,22.14
38,07/27/2020 ,11,20,17.82
39,11/11/2020 ,16,40,32.05
40,11/20/2020 ,01,55,-1.18
41,02/27/2020 ,00,35,17.08
42,12/21/2020 ,14,30,18.36
43,05/28/2020 ,02,35,1.7
44,03/18/2020 ,04,50,16.26
45,12/25/2020 ,17,40,19.16
46,01/12/2020 ,17,45,21.01
47,11/08/2020 ,17,40,112.94
48,07/20/2020 ,15,45,21.95
49,09/20/2020 ,19,55,20.98
50,03/25/2020 ,03,45,4.32
51,05/16/2020 ,11,10,11.66
52,02/29/2020 ,20,55,-0.75
53,05/14/2020 ,15,25,20.71
54,09/17/2020 ,12,15,21.39
55,02/11/2020 ,00,10,12.93
56,06/30/2020 ,14,55,24.92
57,08/23/2020 ,17,35,26.84
58,03/20/2020 ,22,30,12.44
59,05/17/2020 ,08,40,10.4
60,05/27/2020 ,22,40,13.51
61,01/07/2020 ,02,00,16.96
62,10/01/2020 ,18,20,22.22
63,01/19/2020 ,06,40,18.43
64,07/24/2020 ,19,35,14.42
65,02/10/2020 ,06,50,17.68
66,06/21/2020 ,02,55,9.15
67,05/21/2020 ,21,00,17.42
68,06/03/2020 ,05,30,11.72
69,09/05/2020 ,02,20,14.57
70,12/05/2020 ,20,15,25.95
71,08/25/2020 ,20,35,27.55
72,03/17/2020 ,02,25,16.78
