Date,Time,Power
20180113,1800,5.892
20180113,1900,24.496
20180113,2000,47.837
20180113,2100,96.928
20180113,2200,154.124
20180113,2300,169.532
20180114,0,163.187
20180114,100,157.45
20180114,200,140.899
20180114,300,116.366
20180114,400,105.929
20180114,500,97.132
20180114,600,73.595
20180114,700,71.782
20180114,800,69.146
20180114,900,61.08
20180114,1000,57.249
20180114,1100,53.16
20180114,1200,37.903
20180114,1300,31.196
20180114,1400,17.387
20180114,1500,9.412
20180114,1600,1.142
20180114,1700,0.003
20180114,1800,0
20180114,1900,0
20180114,2000,0
20180114,2100,3.09
20180114,2200,18.923
20180114,2300,67.007
20180115,0,171.768
20180115,100,216.908
20180115,200,223.864
20180115,300,224.901
20180115,400,208.307
20180115,500,224.597
20180115,600,233.784
20180115,700,225.239
20180115,800,224.257
20180115,900,188.124
20180115,1000,160.527
20180115,1100,34.706
20180115,1200,1.245
20180115,1300,6.163
20180115,1400,17.291
20180115,1500,198.916
20180115,1600,236.55
20180115,1700,236.656
20180115,1800,224.354
20180115,1900,236.589
20180115,2000,236.63
20180115,2100,236.612
20180115,2200,235.167
20180115,2300,234.123
20180116,0,235.67
20180116,100,234.187
20180116,200,234.064
20180116,300,227.224
20180116,400,223.57
20180116,500,207.246
20180116,600,201.228
20180116,700,165.821
20180116,800,120.842
20180116,900,84.336
20180116,1000,105.866
20180116,1100,91.275
20180116,1200,74.036
20180116,1300,52.035
20180116,1400,32.322
20180116,1500,23.655
20180116,1600,16.536
20180116,1700,6.498
20180116,1800,3.674
20180116,1900,2.595
20180116,2000,2.904
20180116,2100,1.845
20180116,2200,1.516
20180116,2300,1.397
20180117,0,0.841
20180117,100,0.094
20180117,200,0
20180117,300,0
20180117,400,0
20180117,500,0
20180117,600,0.135
20180117,700,1.625
20180117,800,4.996
20180117,900,12.966
20180117,1000,12.355
20180117,1100,11.759
20180117,1200,7.257
20180117,1300,4.22
20180117,1400,1.103
20180117,1500,1.038
20180117,1600,3.089
20180117,1700,8.423
20180117,1800,18.903
20180117,1900,36.807
20180117,2000,51.67
20180117,2100,94.061
20180117,2200,141.78
20180117,2300,138.446
20180118,0,123.514
20180118,100,105.188
20180118,200,77.496
20180118,300,65.725
20180118,400,63.462
20180118,500,75.408
20180118,600,78.802
20180118,700,78.794
20180118,800,71.942
20180118,900,64.569
20180118,1000,48.769
20180118,1100,80.236
20180118,1200,87.913
20180118,1300,93.281
20180118,1400,96.655
20180118,1500,82.809
20180118,1600,68.126
20180118,1700,70.8
20180118,1800,97.376
20180118,1900,170.375
20180118,2000,223.669
20180118,2100,235.995
20180118,2200,236.521
20180118,2300,236.521
20180119,0,235.823
20180119,100,234.223
20180119,200,233.951
20180119,300,227.337
20180119,400,225.312
20180119,500,226.498
20180119,600,227.436
20180119,700,0
20180119,800,0
20180119,900,0
20180119,1000,0
20180119,1100,0
20180119,1200,0
20180119,1300,0
20180119,1400,0
20180119,1500,198.276
20180119,1600,198.251
20180119,1700,200.626
20180119,1800,212.546
20180119,1900,212.928
20180119,2000,212.925
20180119,2100,212.928
20180119,2200,212.93
20180119,2300,212.945
20180120,0,212.984
20180120,100,213.02
20180120,200,213.062
20180120,300,213.043
20180120,400,212.93
20180120,500,212.944
20180120,600,212.774
20180120,700,212.677
20180120,800,208.32
20180120,900,200.024
20180120,1000,193.676
20180120,1100,185.692
20180120,1200,175.716
20180120,1300,191.464
20180120,1400,194.329
20180120,1500,178.136
20180120,1600,184.266
20180120,1700,154.6
20180120,1800,187.692
20180120,1900,204.628
20180120,2000,205.537
20180120,2100,208.826
20180120,2200,208.355
20180120,2300,208.033
20180121,0,208.204
20180121,100,207.557
20180121,200,199.826
20180121,300,200.125
20180121,400,204.582
20180121,500,200.958
20180121,600,208.569
20180121,700,212.551
20180121,800,212.662
20180121,900,193.961
20180121,1000,161.547
20180121,1100,171.713
20180121,1200,205.293
20180121,1300,212.941
20180121,1400,213.088
20180121,1500,213.052
20180121,1600,213
20180121,1700,212.952
20180121,1800,208.42
20180121,1900,208.648
20180121,2000,207.266
20180121,2100,204.78
20180121,2200,205.367
20180121,2300,208.527
20180122,0,207.599
20180122,100,207.484
20180122,200,198.643
20180122,300,192.416
20180122,400,176.26
20180122,500,171.651
20180122,600,171.465
20180122,700,161.316
20180122,800,157.112
20180122,900,102.625
20180122,1000,56.775
20180122,1100,47.851
20180122,1200,74.142
20180122,1300,87.955
20180122,1400,114.553
20180122,1500,136.268
20180122,1600,109.528
20180122,1700,60.875
20180122,1800,35.984
20180122,1900,32.51
20180122,2000,27.528
20180122,2100,15.879
20180122,2200,8.451
20180122,2300,8.116
20180123,0,4.149
20180123,100,5.578
20180123,200,7.635
20180123,300,11.271
20180123,400,10.372
20180123,500,2.926
20180123,600,0.539
20180123,700,0.002
20180123,800,0
20180123,900,0
20180123,1000,0
20180123,1100,0
20180123,1200,0
20180123,1300,0.006
20180123,1400,0.031
20180123,1500,0.023
20180123,1600,0
20180123,1700,0
20180123,1800,0
20180123,1900,0
20180123,2000,2.022
20180123,2100,31.249
20180123,2200,37.645
20180123,2300,35.038
20180124,0,34.306
20180124,100,24.547
20180124,200,18.921
20180124,300,11.961
20180124,400,9.383
20180124,500,3.297
20180124,600,1.96
20180124,700,4.058
20180124,800,7.268
20180124,900,9.151
20180124,1000,11.193
20180124,1100,8.83
20180124,1200,11.568
20180124,1300,10.73
20180124,1400,12.348
20180124,1500,18.284
20180124,1600,22.682
20180124,1700,28.284
20180124,1800,44.11
20180124,1900,61.358
20180124,2000,87.023
20180124,2100,70.818
20180124,2200,140.198
20180124,2300,146.024
20180125,0,115.519
20180125,100,117.404
20180125,200,136.392
20180125,300,124.758
20180125,400,114.562
20180125,500,141.248
20180125,600,146.715
20180125,700,164.448
20180125,800,170.111
20180125,900,162.164
20180125,1000,154.034
20180125,1100,159.881
20180125,1200,200.301
20180125,1300,224.585
20180125,1400,215.576
20180125,1500,214.875
20180125,1600,223.241
20180125,1700,128.939
20180125,1800,149.595
20180125,1900,187.015
20180125,2000,206.786
20180125,2100,233.422
20180125,2200,233.749
20180125,2300,233.76
20180126,0,233.425
20180126,100,224.76
20180126,200,225.108
20180126,300,214.22
20180126,400,178.508
20180126,500,197.243
20180126,600,213.693
20180126,700,215.939
20180126,800,215.616
20180126,900,213.27
20180126,1000,226.591
20180126,1100,225.173
20180126,1200,224.04
