,date,hour,minute,lmp
167,01/28/2018 ,23,00,20.58
168,07/15/2018 ,06,40,16.77
169,07/10/2018 ,08,50,21.21
170,03/13/2018 ,13,05,20.0
171,12/09/2018 ,10,45,35.61
172,11/08/2018 ,03,25,25.73
173,06/09/2018 ,14,35,29.3
174,08/31/2018 ,13,55,44.3
175,12/12/2018 ,07,45,38.03
176,06/11/2018 ,10,10,18.3
177,03/06/2018 ,03,35,16.59
178,03/06/2018 ,11,50,18.17
179,11/01/2018 ,07,35,34.22
180,10/05/2018 ,15,00,31.53
181,03/22/2018 ,15,30,20.03
182,01/21/2018 ,23,40,16.22
183,06/16/2018 ,13,30,7.15
184,04/14/2018 ,21,55,22.34
185,07/30/2018 ,20,25,31.68
186,03/01/2018 ,00,15,14.17
187,05/23/2018 ,09,45,27.96
188,07/27/2018 ,09,50,27.41
189,05/04/2018 ,10,20,-1.15
190,03/04/2018 ,05,45,15.16
191,07/18/2018 ,23,50,18.56
192,09/18/2018 ,13,50,22.72
193,04/22/2018 ,07,00,17.15
194,02/03/2018 ,15,30,19.11
195,09/01/2018 ,00,15,22.12
196,09/27/2018 ,00,30,20.77
197,07/08/2018 ,04,00,19.14
198,08/26/2018 ,21,00,31.3
199,11/22/2018 ,22,25,8.11
200,07/01/2018 ,02,15,17.27
201,06/27/2018 ,09,40,17.87
202,10/12/2018 ,09,15,31.8
203,11/15/2018 ,21,20,27.29
204,07/31/2018 ,21,40,26.6
205,05/19/2018 ,00,15,5.76
206,11/02/2018 ,08,55,20.88
207,05/22/2018 ,17,55,28.12
208,08/03/2018 ,01,25,18.38
209,05/20/2018 ,06,30,11.58
210,09/14/2018 ,07,15,20.51
211,05/19/2018 ,04,50,14.78
212,05/26/2018 ,05,55,-0.58
213,06/02/2018 ,04,25,15.58
214,12/30/2018 ,15,45,24.31
215,11/12/2018 ,21,00,32.23
216,12/11/2018 ,14,15,19.07
217,07/05/2018 ,19,55,28.99
218,04/07/2018 ,05,55,13.97
219,08/25/2018 ,05,30,15.0
220,01/15/2018 ,11,35,17.91
221,05/24/2018 ,20,55,26.06
222,03/23/2018 ,20,25,-0.92
223,10/02/2018 ,00,45,19.37
224,06/11/2018 ,14,55,29.8
225,07/25/2018 ,18,20,38.38
226,09/16/2018 ,17,50,36.47
227,01/29/2018 ,10,40,22.69
228,08/20/2018 ,12,45,37.83
229,02/07/2018 ,05,30,19.99
230,11/12/2018 ,23,35,21.63
231,09/21/2018 ,18,10,3.83
232,08/19/2018 ,08,20,19.61
233,12/11/2018 ,10,25,32.18
234,05/08/2018 ,18,20,16.14
235,04/09/2018 ,19,55,18.73
236,12/10/2018 ,07,45,46.25
237,08/30/2018 ,21,25,29.25
238,05/26/2018 ,19,10,34.85
239,02/19/2018 ,13,20,19.14
240,07/25/2018 ,17,20,65.82
241,10/07/2018 ,14,55,28.0
242,03/08/2018 ,00,40,16.42
243,12/28/2018 ,21,55,31.08
244,01/08/2018 ,12,55,19.08
245,05/12/2018 ,22,05,34.01
246,09/29/2018 ,15,10,16.83
247,05/26/2018 ,14,15,75.72
248,07/17/2018 ,21,40,26.82
249,12/07/2018 ,14,45,35.79
250,05/07/2018 ,07,40,1.13
251,03/01/2018 ,18,15,20.23
252,08/03/2018 ,10,05,19.49
253,05/23/2018 ,11,45,29.27
254,03/24/2018 ,11,35,18.52
255,05/12/2018 ,20,30,31.93
256,07/11/2018 ,16,40,48.09
257,07/29/2018 ,21,20,32.55
258,09/24/2018 ,08,30,21.08
259,05/01/2018 ,22,45,11.85
260,02/14/2018 ,05,00,19.34
261,09/21/2018 ,04,55,21.82
262,07/19/2018 ,21,05,31.38
263,03/29/2018 ,05,20,16.14
264,10/01/2018 ,23,55,19.4
265,02/28/2018 ,04,55,17.48
266,01/13/2018 ,14,35,19.68
267,05/12/2018 ,06,00,0.51
268,03/17/2018 ,14,20,25.87
269,10/14/2018 ,07,40,19.04
270,08/21/2018 ,13,20,39.14
271,02/22/2018 ,04,45,20.95
272,06/04/2018 ,15,05,28.31
