candidate,wind_forecast,price_forecast,horizon_hours,is_oracle,hours,test_start,test_end,wind_only_revenue,baseload_revenue,dispatch_revenue,dispatch_cove_index,baseload_cove_index,revenue_gain_vs_baseload_pct,cove_reduction_vs_baseload_pct,final_soc,min_soc,max_soc,sum_charge_mwh,sum_discharge_mwh,max_wind_balance_violation,max_delivered_definition_violation,max_grid_violation,max_charge_mode_violation,max_discharge_mode_violation,max_available_energy_violation,max_soc_update_violation,max_soc_low_violation,max_soc_high_violation,mean_solver_runtime_seconds,total_solver_runtime_seconds,time_limit_fraction,gate_fraction,comparison_reference,comparison_price_mode,reference_period_start,reference_period_end,reference_hours,100mw_baseload_revenue,100mw_baseload_cove,revenue_gain_vs_100mw_baseload_pct,cove_reduction_vs_100mw_baseload_pct
three_scenario_expected_nowcast_gated,"current measured wind + ridge residual scenarios [0.5, 0.1, 0.9]","current measured price + daily residual scenarios [0.5, 0.9, 0.1]",48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353949333.4519391,0.1657160346311669,0.2157464711807062,30.19046205208305,23.18945764245408,1000.0,199.99999999999991,1000.0,1566400.543842893,1161377.0864038651,2.8421709430404014e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058681445450398,513.679769039154,0.0,0.0118235717468042,100mw_constant_output_baseload,raw,2014-01-01 00:00:00,2023-12-28 05:00:00,87537,211738164.84091213,0.27701704151478806,67.16369187287339,40.17839706719976
seven_scenario_expected_nowcast_gated,"current measured wind + ridge residual scenarios [0.5, 0.1, 0.9, 0.1, 0.9, 0.25, 0.75]","current measured price + daily residual scenarios [0.5, 0.9, 0.1, 0.1, 0.9, 0.75, 0.25]",48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353220656.4961513,0.1660578987136305,0.2157464711807062,29.922438409728613,23.0310012465776,1000.0,199.99999999999991,1000.0,1597158.4456819843,1184187.7569123958,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0101422781412458,887.824601650238,0.0,0.0082936358339901,100mw_constant_output_baseload,raw,2014-01-01 00:00:00,2023-12-28 05:00:00,87537,211738164.84091213,0.27701704151478806,66.81955128946215,40.05498802326723
five_scenario_expected_nowcast_gated,"current measured wind + ridge residual scenarios [0.5, 0.1, 0.9, 0.1, 0.9]","current measured price + daily residual scenarios [0.5, 0.9, 0.1, 0.1, 0.9]",48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353117910.42855996,0.16610621627437,0.2157464711807062,29.884646113629888,23.008605718866292,1000.0,199.99999999999991,1000.0,1562856.513730978,1158748.763328445,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070384570888445,616.1254181861877,0.0,0.008213669648263,100mw_constant_output_baseload,raw,2014-01-01 00:00:00,2023-12-28 05:00:00,87537,211738164.84091213,0.27701704151478806,66.7710262313232,40.03754593361264
ten_scenario_expected_nowcast_gated,"current measured wind + ridge residual scenarios [0.5, 0.05, 0.95, 0.05, 0.95, 0.25, 0.75, 0.25, 0.75, 0.5]","current measured price + daily residual scenarios [0.5, 0.95, 0.05, 0.05, 0.95, 0.75, 0.25, 0.25, 0.75, 0.95]",48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,341858797.7060715,0.1715769212130423,0.2157464711807062,25.74329324444502,20.47289567515943,1000.0,199.99999999999991,1000.0,1005840.1311980966,745654.357985659,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133272628623376,1166.6286091804504,0.0,0.0010624078960896,100mw_constant_output_baseload,raw,2014-01-01 00:00:00,2023-12-28 05:00:00,87537,211738164.84091213,0.27701704151478806,61.4535565484496,38.06268369814968
single_forecast_recourse_nowcast_gated,current measured wind + ridge future,current measured price + daily future,48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,337322348.04210514,0.1738843582123962,0.2157464711807062,24.074685842171185,19.403382469809603,678.7582611949084,199.99999999999991,1000.0,1829443.1016958756,1356692.9076127033,2.8421709430404014e-14,1.4210854715202004e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011683476421029,102.2736475467682,0.0,0.0073226178644458,100mw_constant_output_baseload,raw,2014-01-01 00:00:00,2023-12-28 05:00:00,87537,211738164.84091213,0.27701704151478806,59.311075684229976,37.22972519612527
