method,horizon_hours,direct_reserve_mw,hours,test_start,test_end,revenue_metric,baseload_revenue_metric,cove,baseload_cove,improvement_vs_baseload_pct,dispatch_cost,profit_metric,final_soc,solver_runtime_seconds,max_wind_only_violation,max_delivered_definition_violation,max_grid_violation,max_charge_limit_violation,max_discharge_limit_violation,max_available_energy_violation,max_soc_update_violation,max_soc_lower_violation,max_soc_upper_violation,case_type,realistic,meaning,comparison_reference,comparison_price_mode,reference_period_start,reference_period_end,reference_hours,100mw_baseload_revenue,100mw_baseload_cove,revenue_gain_vs_100mw_baseload_pct,cove_reduction_vs_100mw_baseload_pct
oracle,24,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,9819350.073485965,7465407.679195175,5.236265599577159,6.887329829727811,23.97248673969637,51416725.0,-41597374.92651404,599.9999999999993,3.6106631755828857,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,perfect_future_oracle,False,"Gurobi sees the realized future wind and price; this is an upper bound, not a deployable forecast.",100mw_constant_output_baseload,normalized,2014-01-01 00:00:00,2023-12-23 20:00:00,87432,5981942.952538653,8.595321855782569,64.14984481453085,39.08005206280413
oracle,48,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10073630.566094294,7465407.679195175,5.10409079056937,6.887329829727811,25.89158764346436,51416725.0,-41343094.433905706,1000.0,5.7431557178497314,2.8421709430404014e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,perfect_future_oracle,False,"Gurobi sees the realized future wind and price; this is an upper bound, not a deployable forecast.",100mw_constant_output_baseload,normalized,2014-01-01 00:00:00,2023-12-23 20:00:00,87432,5981942.952538653,8.595321855782569,68.40064584399263,40.61780493844388
oracle,72,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10112687.753542315,7465407.679195175,5.084377788881055,6.887329829727811,26.177808895759092,51416725.0,-41304037.24645768,1000.0,8.02173662185669,2.8421709430404014e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,perfect_future_oracle,False,"Gurobi sees the realized future wind and price; this is an upper bound, not a deployable forecast.",100mw_constant_output_baseload,normalized,2014-01-01 00:00:00,2023-12-23 20:00:00,87432,5981942.952538653,8.595321855782569,69.05356393027171,40.847150645551444
oracle,168,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10116705.89692372,7465407.679195175,5.082358380669616,6.887329829727811,26.20712952162374,51416725.0,-41300019.10307628,1000.0,17.695703983306885,2.8421709430404014e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,perfect_future_oracle,False,"Gurobi sees the realized future wind and price; this is an upper bound, not a deployable forecast.",100mw_constant_output_baseload,normalized,2014-01-01 00:00:00,2023-12-23 20:00:00,87432,5981942.952538653,8.595321855782569,69.12073513891221,40.87064491656679
