method,horizon_hours,direct_reserve_mw,hours,test_start,test_end,revenue_metric,baseload_revenue_metric,wind_only_revenue_metric,constant_output_100mw_revenue_metric,legacy_non_strategic_revenue_metric,raw_realized_revenue_usd,baseload_raw_realized_revenue_usd,wind_only_raw_realized_revenue_usd,constant_output_100mw_raw_realized_revenue_usd,legacy_non_strategic_raw_realized_revenue_usd,cove,baseload_cove,wind_only_cove,constant_output_100mw_cove,legacy_non_strategic_cove,raw_cove,wind_only_raw_cove,constant_output_100mw_raw_cove,improvement_vs_baseload_pct,cove_improvement_vs_wind_only_pct,cove_improvement_vs_100mw_baseload_pct,cove_improvement_vs_legacy_non_strategic_pct,raw_revenue_gain_vs_wind_only_pct,raw_revenue_gain_vs_100mw_baseload_pct,dispatch_cost,wind_only_cost,profit_metric,primary_baseline_storage_duration_h,final_soc,execution_step_hours,replanning_interval_hours,terminal_policy,solver_runtime_seconds,chronological_hour_step_error_count,max_wind_only_violation,max_delivered_definition_violation,max_grid_violation,max_charge_limit_violation,max_discharge_limit_violation,max_available_energy_violation,max_soc_update_violation,max_soc_lower_violation,max_soc_upper_violation,curtailment_negative_count,hourly_revenue_sum_error_usd,annual_soc_target_mwh,annual_soc_target_violation_count,annual_soc_target_max_abs_error,comparison_reference,comparison_price_mode,reference_period_start,reference_period_end,reference_hours,100mw_baseload_revenue,100mw_baseload_cove,revenue_gain_vs_100mw_baseload_pct,cove_reduction_vs_100mw_baseload_pct
causal_forecast_direct_reserve,24,75.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7380799.558062118,7968621.481689043,7968621.481689043,5981942.952538653,7134852.85316981,258381851.70633015,278124105.46144235,278124105.46144235,211515621.83184695,251084686.28378192,6.966281172591528,5.340833429947171,5.340833429947171,8.595321855782569,7.273583577515989,0.1989951099910796,0.15302190340312,0.24308712781922,-30.434346323742865,-30.434346323742865,18.952643199685312,4.224910618672072,-7.09836125939437,22.157337348700157,51416725.0,42559080.0,-44035925.44193788,24.0,200.0,24,24,equal-initial,3.463042974472046,11,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0,0.0,,0,0.0,100mw_constant_output_baseload,normalized,2014-01-01 00:00:00,2023-12-23 20:00:00,87432,5981942.952538653,8.595321855782569,23.384653057077532,18.952643199685312
causal_forecast_direct_reserve,48,75.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7536849.564441772,7968621.481689043,7968621.481689043,5981942.952538653,7134852.85316981,266671728.539931,278124105.46144235,278124105.46144235,211515621.83184695,251084686.28378192,6.82204474964975,5.340833429947171,5.340833429947171,8.595321855782569,7.273583577515989,0.1928090588436747,0.15302190340312,0.24308712781922,-27.733711210634603,-27.733711210634603,20.63072373421168,6.2079279498764555,-4.117721799953456,26.07661137763746,51416725.0,42559080.0,-43879875.43555823,24.0,981.378,24,24,equal-initial,5.902878522872925,11,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0,0.0,,0,0.0,100mw_constant_output_baseload,normalized,2014-01-01 00:00:00,2023-12-23 20:00:00,87432,5981942.952538653,8.595321855782569,25.993337352761593,20.63072373421168
causal_forecast_direct_reserve,72,75.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7528034.186099913,7968621.481689043,7968621.481689043,5981942.952538653,7134852.85316981,266076877.93255755,278124105.46144235,278124105.46144235,211515621.83184695,251084686.28378192,6.8300334096433915,5.340833429947171,5.340833429947171,8.595321855782569,7.273583577515989,0.1932401093981288,0.15302190340312,0.24308712781922,-27.883288240108072,-27.883288240108072,20.53778178127868,6.098096806692295,-4.3316013579250745,25.79537890779826,51416725.0,42559080.0,-43888690.81390008,24.0,981.378,24,24,equal-initial,7.916049480438232,11,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0,0.0,,0,0.0,100mw_constant_output_baseload,normalized,2014-01-01 00:00:00,2023-12-23 20:00:00,87432,5981942.952538653,8.595321855782569,25.84597087983127,20.53778178127868
causal_forecast_direct_reserve,168,75.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7508603.236860333,7968621.481689043,7968621.481689043,5981942.952538653,7134852.85316981,265139043.34978503,278124105.46144235,278124105.46144235,211515621.83184695,251084686.28378192,6.847708339094439,5.340833429947171,5.340833429947171,8.595321855782569,7.273583577515989,0.1939236272047961,0.15302190340312,0.24308712781922,-28.214227777595617,-28.214227777595617,20.332147486861235,5.855095138220598,-4.668801393576971,25.35199105083983,51416725.0,42559080.0,-43908121.763139665,24.0,981.378,24,24,equal-initial,18.05270934104919,11,1.4210854715202004e-14,1.4210854715202004e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0,0,0.0,,0,0.0,100mw_constant_output_baseload,normalized,2014-01-01 00:00:00,2023-12-23 20:00:00,87432,5981942.952538653,8.595321855782569,25.5211441572472,20.332147486861235
