epoch,train_loss,val_model_cove,val_teacher_cove,val_baseload_cove,val_model_improvement_vs_baseload_pct,val_final_soc_mean_pct,val_final_soc_max_pct,lr
0,11.541283111946255,6.89993876442822,5.906511782796019,7.136160695044356,3.3102103597551826,43.38877223918219,100.0,0.0005
1,5.109416279138303,6.674839767234325,5.906511782796019,7.136160695044356,6.464553525684905,56.08814942674694,100.0,0.0005
2,3.3760270090664135,6.602610896493178,5.906511782796019,7.136160695044356,7.476706612306207,56.052757213223416,100.0,0.0005
3,2.840153278089037,6.648844096798153,5.906511782796019,7.136160695044356,6.828834426116768,12.61480817343778,97.61188507080078,0.0005
4,2.621276979352914,6.746132357185959,5.906511782796019,7.136160695044356,5.465520670368987,37.07728365498082,100.0,0.0005
5,2.3231284618377686,6.754279463494829,5.906511782796019,7.136160695044356,5.351354150625014,25.13750093200037,97.61136627197266,0.0005
6,2.1742286144518386,6.729934012159525,5.906511782796019,7.136160695044356,5.692510304132182,11.917515588765518,94.2850112915039,0.0005
7,2.0284101939668844,6.8214858649593255,5.906511782796019,7.136160695044356,4.409581615833754,6.240248549627627,38.319332122802734,0.00025
8,1.8218444889666987,6.666192373733138,5.906511782796019,7.136160695044356,6.58573063857128,23.70133490806541,99.47420501708984,0.00025
9,1.6586700677871704,6.572352381828857,5.906511782796019,7.136160695044356,7.900723334425898,30.309082544628378,97.50995635986328,0.00025
10,1.4235118136686438,6.7801712009192405,5.906511782796019,7.136160695044356,4.988529677762567,6.828311914662792,39.159664154052734,0.00025
11,1.3116177858090867,6.594985448622831,5.906511782796019,7.136160695044356,7.583563060699282,13.141402731770812,96.18077850341797,0.00025
12,1.2351352841246361,6.573212664852325,5.906511782796019,7.136160695044356,7.8886680702547105,38.286188263339064,100.0,0.00025
13,1.111076063969556,6.5543412411978235,5.906511782796019,7.136160695044356,8.153115921991102,12.967555997442263,97.71552276611328,0.00025
14,1.1120699153226965,6.439709260413997,5.906511782796019,7.136160695044356,9.759469613878,46.86594589687996,100.0,0.00025
15,1.039778475667916,6.619579333793481,5.906511782796019,7.136160695044356,7.238925569734021,6.4545518067109455,97.0033187866211,0.00025
16,0.963012181076349,6.622915580128612,5.906511782796019,7.136160695044356,7.192174291592993,8.049005119128493,46.9158935546875,0.00025
17,0.9214534946516448,6.355746031777468,5.906511782796019,7.136160695044356,10.936057869448486,68.91897708722969,100.0,0.00025
18,0.8943516997730031,6.677397809660838,5.906511782796019,7.136160695044356,6.428707325804779,9.039481854364519,88.56160736083984,0.00025
19,0.8757989967570585,6.620679517951118,5.906511782796019,7.136160695044356,7.223508538018331,6.414822381201823,97.12671661376953,0.00025
20,0.8497961455700445,6.6497886798170605,5.906511782796019,7.136160695044356,6.815597854530546,7.3555775729940365,43.23070526123047,0.00025
21,0.8006150967934552,6.727364652893299,5.906511782796019,7.136160695044356,5.7285150884416245,6.1151385420942495,49.59804916381836,0.00025
22,0.7991332692258498,6.67344482419051,5.906511782796019,7.136160695044356,6.4841010541589155,8.6744629456966,98.7421646118164,0.000125
23,0.7186364601640141,6.668564513502289,5.906511782796019,7.136160695044356,6.552489518163249,6.3949828292025055,42.00920486450195,0.000125
24,0.7182133244533165,6.650210686026339,5.906511782796019,7.136160695044356,6.809684223555674,20.515367679040747,99.55928802490234,0.000125
25,0.6741024138880711,6.638197166361449,5.906511782796019,7.136160695044356,6.9780313247249754,54.02414900327277,100.0,0.000125
26,0.6432783971814549,6.700179980194741,5.906511782796019,7.136160695044356,6.10945764089054,18.94735831308406,99.8922348022461,0.000125
27,0.6113554753509223,6.686177051074194,5.906511782796019,7.136160695044356,6.305682610015345,3.2464254454588866,55.50972747802735,6.25e-05
28,0.6005983539656097,6.62297324157138,5.906511782796019,7.136160695044356,7.191366273875453,36.34566660501491,100.0,6.25e-05
29,0.5953006481423098,6.702121452721245,5.906511782796019,7.136160695044356,6.08225151970758,3.477639979010241,33.533504486083984,6.25e-05
30,0.576492962883968,6.6593827266088805,5.906511782796019,7.136160695044356,6.681155159055898,8.051965256698413,93.34622192382812,6.25e-05
31,0.5795978681713927,6.6175113972058,5.906511782796019,7.136160695044356,7.267903849176588,35.767508443382575,100.0,6.25e-05
32,0.5699996796308779,6.662800291515777,5.906511782796019,7.136160695044356,6.63326435259929,14.816758846046914,100.0,3.125e-05
33,0.5582603391479043,6.664031646715075,5.906511782796019,7.136160695044356,6.616009203059941,15.606755260790523,100.0,3.125e-05
34,0.5581537660430459,6.64480444936368,5.906511782796019,7.136160695044356,6.885442560477842,13.994562998477447,100.0,3.125e-05
35,0.5459423135308659,6.6526072325520875,5.906511782796019,7.136160695044356,6.77610108791507,21.53874865514612,100.0,3.125e-05
36,0.5412067408655205,6.649951877907747,5.906511782796019,7.136160695044356,6.813310937269841,23.575806817541523,100.0,3.125e-05
37,0.5329519884259093,6.662392678323211,5.906511782796019,7.136160695044356,6.6389762922540285,11.498753328511922,100.0,1.5625e-05
38,0.5324394241267559,6.64257979385711,5.906511782796019,7.136160695044356,6.916616963656779,21.40558376469475,100.0,1.5625e-05
39,0.5238786696218977,6.646143140945935,5.906511782796019,7.136160695044356,6.866683291461034,21.476876453825724,100.0,1.5625e-05
40,0.520245727370767,6.650490186967665,5.906511782796019,7.136160695044356,6.8057675384743,24.067471197827096,100.0,1.5625e-05
41,0.5185018339577843,6.656242611036674,5.906511782796019,7.136160695044356,6.725158029876713,24.506548759142497,100.0,1.5625e-05
42,0.5130860466583103,6.652297389368246,5.906511782796019,7.136160695044356,6.780442963008447,19.864350001857776,100.0,7.8125e-06
43,0.5193858064857184,6.662595830307887,5.906511782796019,7.136160695044356,6.636129495589017,11.450984886259526,100.0,7.8125e-06
44,0.503396600484848,6.640111465891697,5.906511782796019,7.136160695044356,6.9512059824708805,27.640802498958084,100.0,7.8125e-06
