candidate,wind_forecast,price_forecast,horizon_hours,is_oracle,hours,test_start,test_end,wind_only_revenue,baseload_revenue,dispatch_revenue,dispatch_cove_index,wind_only_cove_index,baseload_cove_index,revenue_gain_vs_wind_only_pct,revenue_gain_vs_baseload_pct,cove_reduction_vs_wind_only_pct,cove_reduction_vs_baseload_pct,final_soc,min_soc,max_soc,sum_charge_mwh,sum_discharge_mwh,max_wind_balance_violation,max_delivered_definition_violation,max_grid_violation,max_charge_mode_violation,max_discharge_mode_violation,max_available_energy_violation,max_soc_update_violation,max_soc_low_violation,max_soc_high_violation,100mw_baseload_revenue,100mw_baseload_cove,revenue_gain_vs_100mw_baseload_pct,cove_reduction_vs_100mw_baseload_pct,mean_solver_runtime_seconds,total_solver_runtime_seconds,time_limit_fraction,gate_fraction,execution_policy,result_set
single_forecast_recourse_nowcast_gated,current-hour nowcast + causal ridge future,current-hour nowcast + causal ridge future,48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,337322348.04210514,0.17388435821239623,0.15290166252630713,0.2157464711807062,21.189527177080603,24.074685842171185,-13.723000351601128,19.403382469809603,678.7582611949084,199.99999999999991,1000.0,1829443.1016958756,1356692.9076127033,5.684341886080802e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,3.410605131648481e-13,2.842170943040401e-14,0.0,211738164.84091213,0.27701704151478806,59.311075684229976,37.229725196125266,0.0012534646599960402,109.72453594207337,0.0,0.007322617864445892,"first hour, then replan",archived_hourly_replan_nowcast_gated
three_scenario_expected_nowcast_gated,current-hour nowcast + causal ridge future,current-hour nowcast + causal ridge future,48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353949333.45193917,0.16571603463116694,0.15290166252630713,0.2157464711807062,27.163090778465502,30.190462052083067,-8.380793179835477,23.18945764245409,1000.0,199.99999999999991,1000.0,1566400.543842893,1161377.0864038651,2.842170943040401e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,3.410605131648481e-13,2.842170943040401e-14,0.0,211738164.84091213,0.27701704151478806,67.16369187287343,40.178397067199754,0.004627630082722861,405.0888545513111,0.0,0.011823571746804208,"first hour, then replan",archived_hourly_replan_nowcast_gated
five_scenario_expected_nowcast_gated,current-hour nowcast + causal ridge future,current-hour nowcast + causal ridge future,48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353117910.42855996,0.16610621627437003,0.15290166252630713,0.2157464711807062,26.86438610125601,29.884646113629888,-8.635977876166663,23.008605718866292,1000.0,199.99999999999991,1000.0,1562856.5137309781,1158748.7633284447,2.842170943040401e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,3.410605131648481e-13,2.842170943040401e-14,0.0,211738164.84091213,0.27701704151478806,66.7710262313232,40.03754593361263,0.007413833663746719,648.9847574233966,0.0,0.00821366964826302,"first hour, then replan",archived_hourly_replan_nowcast_gated
seven_scenario_expected_nowcast_gated,current-hour nowcast + causal ridge future,current-hour nowcast + causal ridge future,48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,353220656.4961514,0.16605789871363055,0.15290166252630713,0.2157464711807062,26.901299597865357,29.922438409728635,-8.604377460617773,23.03100124657761,1000.0,199.99999999999991,1000.0,1597158.4456819845,1184187.7569123958,2.842170943040401e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,3.410605131648481e-13,2.842170943040401e-14,0.0,211738164.84091213,0.27701704151478806,66.81955128946217,40.05498802326721,0.009789892041386408,856.977779626842,0.0,0.008293635833990199,"first hour, then replan",archived_hourly_replan_nowcast_gated
ten_scenario_expected_nowcast_gated,current-hour nowcast + causal ridge future,current-hour nowcast + causal ridge future,48,False,87537,2014-01-01 00:00:00,2023-12-28 05:00:00,278342820.4561059,271870402.69535315,341858797.7060715,0.17157692121304233,0.15290166252630713,0.2157464711807062,22.819333779073325,25.74329324444502,-12.213901652980438,20.47289567515943,1000.0,199.99999999999991,1000.0,1005840.1311980966,745654.357985659,2.842170943040401e-14,5.684341886080802e-14,0.0,0.0,0.0,0.0,3.410605131648481e-13,2.842170943040401e-14,0.0,211738164.84091213,0.27701704151478806,61.4535565484496,38.06268369814967,0.013290488888941509,1163.4095258712728,0.0,0.0010624078960896535,"first hour, then replan",archived_hourly_replan_nowcast_gated
