variable,lead_hours,rmse,mae,bias,correlation,samples
generation_mw,1-24,63.17819366106907,50.14302689723942,-2.2706148787848357,0.5416456210128094,87432
generation_mw,25-48,71.82659747354819,60.3800182560595,-2.6426816240155437,0.29360030999624465,87432
generation_mw,49-72,72.00123291031386,60.648027354492754,-2.776344441682704,0.28592904286607507,87432
generation_mw,73-168,72.07841201999054,60.73816416054317,-2.9232828807920943,0.2812512637196838,349728
price_normalized,1-24,2.6998831256390274,0.7725783827512311,0.00243473141051869,0.25621273296012265,87432
price_normalized,25-48,2.7440094102095802,0.7751026244297079,-0.013235842850089217,0.08495727903725485,87432
price_normalized,49-72,2.7386533850086083,0.7663033712993604,-0.01313038298179508,0.08883401334229082,87432
price_normalized,73-168,2.725310625272745,0.7614382034386287,-0.014285119506558995,0.1226440562979033,349728
