epoch,train_loss,val_model_cove,val_teacher_cove,val_baseload_cove,val_model_improvement_vs_baseload_pct,val_final_soc_mean_pct,val_final_soc_max_pct,lr
0,1.3771294741069569,6.478858204901573,5.906511782796019,7.136160695044356,9.210870077508776,5.751181262464634,100.0,0.001
1,0.53884411091898,6.536849186812322,5.906511782796019,7.136160695044356,8.398234482699081,12.09361397717422,93.87289428710938,0.001
2,0.29247357798557655,6.396636074350391,5.906511782796019,7.136160695044356,10.363060086462477,36.28137167687031,98.46067810058594,0.001
3,0.15841956524287953,6.707760281715366,5.906511782796019,7.136160695044356,6.003233834497148,12.993526823579765,99.03153228759766,0.001
4,0.10168640242487777,6.741242103702924,5.906511782796019,7.136160695044356,5.534048464122721,7.424155420729674,23.856618881225586,0.001
5,0.07543542426006467,6.7559199578127025,5.906511782796019,7.136160695044356,5.3283656784201625,6.036245675645424,18.908329010009766,0.001
6,0.06917852156010329,6.792973718251806,5.906511782796019,7.136160695044356,4.809126243904127,7.189928879907602,100.0,0.001
7,0.07014387327374197,6.66805271574934,5.906511782796019,7.136160695044356,6.559661410372794,1.2030204437249026,29.600549697875977,0.0005
8,0.05618919326248122,6.753320951895074,5.906511782796019,7.136160695044356,5.364785905327792,6.2224037763956845,100.0,0.0005
9,0.051746394521757666,6.782295479956966,5.906511782796019,7.136160695044356,4.958761863828657,4.742656991177914,100.0,0.0005
10,0.047709987991872954,6.747405349000123,5.906511782796019,7.136160695044356,5.447682061226574,31.872844231019226,100.0,0.0005
11,0.04666222745150912,6.752942152769882,5.906511782796019,7.136160695044356,5.370094069498692,47.8854922548465,100.0,0.0005
12,0.04665797452131907,6.7721866239276105,5.906511782796019,7.136160695044356,5.100418651860009,86.72737403925201,100.0,0.00025
13,0.042774495321745966,6.768641676158799,5.906511782796019,7.136160695044356,5.150094491857185,11.675545763389222,100.0,0.00025
14,0.042745492366306925,6.711978196505951,5.906511782796019,7.136160695044356,5.944127615189134,58.308537916779976,100.0,0.00025
15,0.042578331176556794,6.789911090391491,5.906511782796019,7.136160695044356,4.852043268774972,30.201059114937173,100.0,0.00025
16,0.040551699497097846,6.7382785472548585,5.906511782796019,7.136160695044356,5.575577187685851,84.42938142466512,100.0,0.00025
17,0.041286043092316274,6.797122705948384,5.906511782796019,7.136160695044356,4.750985909431854,4.470531653442414,100.0,0.000125
18,0.04102054903028058,6.789428525981038,5.906511782796019,7.136160695044356,4.858805510140804,30.01687351388863,100.0,0.000125
19,0.03911176097451472,6.756044849305316,5.906511782796019,7.136160695044356,5.326615556779822,46.364463801715374,100.0,0.000125
20,0.03964629645148913,6.718845336586442,5.906511782796019,7.136160695044356,5.847897438011933,79.73685396477542,100.0,0.000125
21,0.03861858456523395,6.751488189743552,5.906511782796019,7.136160695044356,5.390468653094324,43.673645263073624,100.0,0.000125
22,0.04018507696980355,6.755232026244395,5.906511782796019,7.136160695044356,5.338005757977027,40.91915985597206,100.0,6.25e-05
23,0.0382702672379274,6.741999334303648,5.906511782796019,7.136160695044356,5.523437287706117,53.07579615555779,100.0,6.25e-05
24,0.03789014844041245,6.755542200266103,5.906511782796019,7.136160695044356,5.333659246807172,90.22115259297793,100.0,6.25e-05
25,0.03823220127207391,6.766048031266244,5.906511782796019,7.136160695044356,5.186439593984099,55.8153699960439,100.0,6.25e-05
26,0.03803671334011882,6.764829936413604,5.906511782796019,7.136160695044356,5.2035089244643675,55.81554438204866,100.0,6.25e-05
27,0.03767805425998043,6.725524808241694,5.906511782796019,7.136160695044356,5.75429708425462,83.5590736785511,100.0,3.125e-05
28,0.03706077270794148,6.745215143500374,5.906511782796019,7.136160695044356,5.478373711728075,75.54833406021906,100.0,3.125e-05
29,0.03719239013598246,6.749753133028435,5.906511782796019,7.136160695044356,5.41478224116027,83.56125274450166,100.0,3.125e-05
