method,hours,test_start,test_end,wind_only_revenue,baseload_revenue,dispatch_revenue,revenue_gain_vs_baseload_dollars,revenue_gain_vs_baseload_pct,baseload_cove_index,dispatch_cove_index,cove_reduction_vs_baseload_pct,final_soc_mwh,min_soc_mwh,max_soc_mwh,sum_charge_mwh,sum_discharge_mwh,mean_solver_runtime_seconds,gate_fraction
Seven-scenario closed-loop gated,87551.0,2014-01-01 00:00:00,2023-12-29 05:00:00,170046878.6538559,180653095.0645656,212097824.77902398,31444729.714458376,17.406139486965344,0.32468350447600475,0.27654729632946645,14.825578596677902,864.5603890599001,199.99999999999991,1000.0,1491851.4984973366,1106190.4793770255,0.004258592479147317,0.1229911708604128
Five-scenario closed-loop gated,87551.0,2014-01-01 00:00:00,2023-12-29 05:00:00,170046878.6538559,180653095.0645656,211596820.6421123,30943725.577546716,17.12881009123448,0.32468350447600475,0.2772020856551867,14.623908565187705,864.5603890599001,199.99999999999991,1000.0,1486977.2344551252,1102575.6284154702,0.003125830729618137,0.12018137999565967
Three-scenario closed-loop gated,87551.0,2014-01-01 00:00:00,2023-12-29 05:00:00,170046878.6538559,180653095.0645656,210298180.86639082,29645085.801825225,16.409951787003727,0.32468350447600475,0.27891387247550875,14.096691507122305,895.5160817248669,199.99999999999991,1000.0,1500940.0612303223,1112907.780539939,0.0018239082273639347,0.158878824913479
Single forecast closed-loop gated,87551.0,2014-01-01 00:00:00,2023-12-29 05:00:00,170046878.6538559,180653095.0645656,209947648.69849366,29294553.63392806,16.215915715951713,0.32468350447600475,0.2793795518245346,13.953265881056875,438.15450239275737,199.99999999999991,1000.0,1611855.4906475972,1195504.0529492046,0.0007578311830452581,0.09368253931993924
Ten-scenario closed-loop gated,87551.0,2014-01-01 00:00:00,2023-12-29 05:00:00,170046878.6538559,180653095.0645656,205263577.2237631,24610482.15919751,13.623061453999274,0.32468350447600475,0.2857549341842493,11.989697583984416,1000.0,199.99999999999991,1000.0,1204446.2918317094,892944.6287875469,0.020393674529475204,0.12564105492798483
