epoch,train_loss,val_action_mse,val_release_mse_scaled,val_model_cove,val_teacher_cove,val_baseload_cove,val_model_improvement_vs_baseload_pct,lr
0,1.219928299005215,0.157942159101367,0.02019428159110248,7.203926074640875,6.910178555243361,11.178137793505467,35.55343289088476,0.0007
1,0.7152833525951092,0.12085919454693794,0.015520841581746936,7.317857147438012,6.910178555243361,11.178137793505467,34.53420164770459,0.0007
2,0.43603832102738893,0.10361574497073889,0.014150105882436037,7.229750488224187,6.910178555243361,11.178137793505467,35.322406810688136,0.0007
3,0.3739405033680109,0.09673071652650833,0.012851405190303922,7.177516887160055,6.910178555243361,11.178137793505467,35.78969037821116,0.0007
4,0.3371615501550528,0.08614704571664333,0.012313908664509654,7.110452208156527,6.910178555243361,11.178137793505467,36.38965327223179,0.0007
5,0.3013440823325744,0.08170837443321943,0.01185656525194645,7.217131657776139,6.910178555243361,11.178137793505467,35.43529529606161,0.0007
6,0.28516739434920824,0.07321478985249996,0.011730531812645495,7.046827186632508,6.910178555243361,11.178137793505467,36.95884487372542,0.0007
7,0.2771878087749848,0.07383192796260118,0.013721034163609147,7.06134986072274,6.910178555243361,11.178137793505467,36.82892453852728,0.0007
8,0.2753849264520865,0.0703832982107997,0.010419902740977705,7.079247930103724,6.910178555243361,11.178137793505467,36.66880780252334,0.0007
9,0.2339577445617089,0.06302526267245412,0.009937370545230806,7.0650793196518125,6.910178555243361,11.178137793505467,36.79556067239889,0.0007
10,0.21710660480535948,0.05730424169450998,0.010445764637552202,7.060705607984258,6.910178555243361,11.178137793505467,36.834688045386685,0.0007
11,0.21040175625911126,0.04981187963858247,0.009425781550817192,7.0255061538600465,6.910178555243361,11.178137793505467,37.149583556378346,0.0007
12,0.207204544200347,0.0545484097674489,0.009513944503851235,7.183105566428245,6.910178555243361,11.178137793505467,35.73969386384151,0.0007
13,0.194391080393241,0.05504890438169241,0.009482753346674144,7.092504459781165,6.910178555243361,11.178137793505467,36.55021443820515,0.0007
14,0.17952589518748796,0.050651628989726305,0.0089936816948466,7.0952691793871505,6.910178555243361,11.178137793505467,36.525481162796865,0.0007
15,0.1791808347289379,0.048418259248137474,0.00904851604718715,7.042099840856315,6.910178555243361,11.178137793505467,37.001135869448696,0.0007
16,0.17458119644568518,0.059176238253712654,0.009472159785218537,7.185118857962772,6.910178555243361,11.178137793505467,35.72168288945813,0.00035
17,0.17286454771573728,0.04376345220953226,0.008679189952090383,7.036576944702571,6.910178555243361,11.178137793505467,37.05054388584435,0.00035
18,0.15121661155269697,0.04542190255597234,0.008582649636082351,7.10312917250206,6.910178555243361,11.178137793505467,36.45516539768368,0.00035
19,0.14773493260145187,0.04275805130600929,0.008451710978988558,7.023476587836886,6.910178555243361,11.178137793505467,37.16774012288927,0.00035
