horizon_hours,horizon_days,gurobi_cove,baseload_cove,improvement_vs_baseload_pct,project_revenue_metric,solver_runtime_seconds,mean_window_runtime_seconds,final_soc_mwh,max_soc_mwh,max_constraint_violation,source_directory,share_of_weekly_improvement_pct,cove_gap_vs_168h
24,1.0,1.2479909105686453,1.7430621023816228,28.402384007806713,41583656.227394834,16.81222915649414,0.0010464477254135,1440.0,2400.0,5.9259264162392356e-12,/Users/davidvalenta/deep-wind-model-dispatch/strategy_model/optimization/rolling_horizon_gurobi_results/horizon_comparison_full_43y/horizon_24h,87.84604789415606,0.06849564321354396
48,2.0,1.2032631759292294,1.7430621023816228,30.96842767190235,43129405.13609825,29.231940031051636,0.0018194908521755,931.6713636363636,2400.0,5.858510121470317e-09,/Users/davidvalenta/deep-wind-model-dispatch/strategy_model/optimization/rolling_horizon_gurobi_results/horizon_comparison_full_43y/horizon_48h,95.78259274731636,0.023767908574128027
72,3.0,1.1863262013920397,1.7430621023816228,31.94010702366199,43745156.213447034,45.192075967788696,0.0028129015291789,931.6713636363636,2400.0,1.6310650607920252e-08,/Users/davidvalenta/deep-wind-model-dispatch/strategy_model/optimization/rolling_horizon_gurobi_results/horizon_comparison_full_43y/horizon_72h,98.78791057024905,0.006830934036938352
168,7.0,1.1794952673551014,1.7430621023816228,32.331999775366306,43998502.10198094,102.59081506729126,0.0063855854019227,931.6713636363636,2400.0,5.1514348342607255e-12,/Users/davidvalenta/deep-wind-model-dispatch/strategy_model/optimization/rolling_horizon_gurobi_results/full_dataset_caes_100mw_24h_dod80_mid_soc,100.0,0.0
