datetime,gurobi_release,gurobi_charge,gurobi_discharge,gurobi_storage_start,horizon_hours,net_storage_power
2020-01-08 21:00:00,215.302,0.0,0.0,1542.9818181818182,24,0.0
2020-01-08 22:00:00,215.406,0.0,0.0,1542.9818181818182,24,0.0
2020-01-08 23:00:00,215.37,0.0,0.0,1542.9818181818182,24,0.0
2020-01-09 00:00:00,215.333,0.0,0.0,1542.9818181818182,24,0.0
2020-01-09 01:00:00,215.317,0.0,0.0,1542.9818181818182,24,0.0
2020-01-09 02:00:00,144.07345454545452,71.23454545454547,0.0,1542.9818181818182,24,-71.23454545454547
2020-01-09 03:00:00,214.915,0.0,0.0,1614.2163636363637,24,0.0
2020-01-09 04:00:00,212.372,0.0,0.0,1614.2163636363637,24,0.0
2020-01-09 05:00:00,188.033,0.0,0.0,1614.2163636363637,24,0.0
2020-01-09 06:00:00,175.954,0.0,0.0,1614.2163636363637,24,0.0
2020-01-09 07:00:00,249.0,0.0,95.819,1614.2163636363637,24,95.819
2020-01-09 08:00:00,116.015,0.0,0.0,1440.0,24,0.0
2020-01-09 09:00:00,107.52,0.0,0.0,1440.0,24,0.0
2020-01-09 10:00:00,103.217,0.0,0.0,1440.0,24,0.0
2020-01-09 11:00:00,93.205,0.0,0.0,1440.0,24,0.0
2020-01-09 12:00:00,81.259,0.0,0.0,1440.0,24,0.0
2020-01-09 13:00:00,167.83860000000004,0.0,82.43260000000004,1440.0,24,82.43260000000004
2020-01-09 14:00:00,66.898,0.0,0.0,1290.1225454545454,24,0.0
2020-01-09 15:00:00,172.82299999999998,0.0,100.0,1290.1225454545454,24,100.0
2020-01-09 16:00:00,72.894,0.0,0.0,1108.3043636363636,24,0.0
2020-01-09 17:00:00,158.952,0.0,100.0,1108.3043636363636,24,100.0
2020-01-09 18:00:00,0.0,54.618,0.0,926.4861818181818,24,-54.618
2020-01-09 19:00:00,124.169,0.0,0.0,981.1041818181818,24,0.0
2020-01-09 20:00:00,184.268,0.0,0.0,981.1041818181818,24,0.0
2020-01-09 21:00:00,87.24199999999999,100.0,0.0,981.1041818181818,24,-100.0
2020-01-09 22:00:00,182.942,0.0,0.0,1081.1041818181818,24,0.0
2020-01-09 23:00:00,59.197,100.0,0.0,1081.1041818181818,24,-100.0
2020-01-10 00:00:00,124.937,0.0,0.0,1181.1041818181818,24,0.0
2020-01-10 01:00:00,38.28,100.0,0.0,1181.1041818181818,24,-100.0
2020-01-10 02:00:00,72.149,100.0,0.0,1281.1041818181818,24,-100.0
2020-01-10 03:00:00,22.36,100.0,0.0,1381.1041818181818,24,-100.0
2020-01-10 04:00:00,45.852,0.0,0.0,1481.1041818181818,24,0.0
2020-01-10 05:00:00,14.458,0.0,0.0,1481.1041818181818,24,0.0
2020-01-10 06:00:00,0.0,8.231,0.0,1481.1041818181818,24,-8.231
2020-01-10 07:00:00,113.226,0.0,100.0,1489.3351818181818,24,100.0
2020-01-10 08:00:00,0.0,18.599,0.0,1307.517,24,-18.599
2020-01-10 09:00:00,0.0,34.946,0.0,1326.116,24,-34.946
2020-01-10 10:00:00,92.895,0.0,0.0,1361.062,24,0.0
2020-01-10 11:00:00,0.0,78.938,0.0,1361.062,24,-78.938
2020-01-10 12:00:00,59.051,0.0,0.0,1440.0,24,0.0
2020-01-10 13:00:00,41.168,0.0,0.0,1440.0,24,0.0
2020-01-10 14:00:00,0.0,57.515,0.0,1440.0,24,-57.515
2020-01-10 15:00:00,114.629,0.0,0.0,1497.515,24,0.0
2020-01-10 16:00:00,0.0,37.889,0.0,1497.515,24,-37.889
2020-01-10 17:00:00,129.297,0.0,100.0,1535.404,24,100.0
2020-01-10 18:00:00,0.0,52.542,0.0,1353.5858181818182,24,-52.542
2020-01-10 19:00:00,0.0,43.005,0.0,1406.1278181818182,24,-43.005
2020-01-10 20:00:00,0.0,35.929,0.0,1449.1328181818185,24,-35.929
2020-01-10 21:00:00,99.565,100.0,0.0,1485.061818181818,24,-100.0
2020-01-10 22:00:00,184.97420000000005,0.0,48.99220000000004,1585.061818181818,24,48.99220000000004
2020-01-10 23:00:00,90.646,100.0,0.0,1495.9850909090908,24,-100.0
2020-01-11 00:00:00,249.0,0.0,26.40100000000001,1595.9850909090908,24,26.40100000000001
2020-01-11 01:00:00,122.69,100.0,0.0,1547.9832727272726,24,-100.0
2020-01-11 02:00:00,134.733,100.0,0.0,1647.9832727272726,24,-100.0
2020-01-11 03:00:00,222.884,0.0,0.0,1747.9832727272726,24,0.0
2020-01-11 04:00:00,249.0,0.0,97.092,1747.9832727272726,24,97.092
2020-01-11 05:00:00,109.427,0.0,0.0,1571.4523636363635,24,0.0
2020-01-11 06:00:00,9.831000000000005,100.0,0.0,1571.4523636363635,24,-100.0
2020-01-11 07:00:00,204.076,0.0,100.0,1671.4523636363635,24,100.0
2020-01-11 08:00:00,0.0,87.625,0.0,1489.6341818181818,24,-87.625
2020-01-11 09:00:00,0.0,44.559,0.0,1577.2591818181818,24,-44.559
2020-01-11 10:00:00,37.869,0.0,0.0,1621.8181818181818,24,0.0
2020-01-11 11:00:00,15.889,0.0,0.0,1621.8181818181818,24,0.0
2020-01-11 12:00:00,101.181,0.0,100.0,1621.8181818181818,24,100.0
2020-01-11 13:00:00,100.045,0.0,100.0,1440.0,24,100.0
