time_stamp,speed,power_cf,power,npower,nspeed,preds,npreds
2018-01-01 01:00:00,6.384245914179051,0.1910329280744962,134.039,0.5488250781029279,0.268745068985367,41.891216,0.17133422
2018-01-01 02:00:00,6.679562767247854,0.2208420399301065,123.45,0.5054682285887425,0.2813338889129031,90.95886,0.3720199
2018-01-01 03:00:00,6.784413544926733,0.2320674089602992,116.143,0.475549586658423,0.2858034867219858,53.197525,0.21757679
2018-01-01 04:00:00,6.794198043762436,0.2331325234849419,94.625,0.3874437515610349,0.28622058209816864,84.15081,0.3441751
2018-01-01 05:00:00,7.114357670820616,0.2696884336779677,41.765,0.17100753800736193,0.29986840426348044,40.98644,0.1676337
2018-01-01 06:00:00,6.992888714745873,0.2554242097626771,36.474,0.14934344406274436,0.2946904037568366,95.02227,0.38863915
2018-01-01 07:00:00,7.1229369664412,0.2707145759033338,66.499,0.2722813425105126,0.3002341240202444,98.46744,0.4027298
2018-01-01 08:00:00,6.023019721175952,0.1580611752850451,63.03,0.25807746008868726,0.2533466538608297,45.34662,0.18546674
2018-01-01 09:00:00,5.885334666575988,0.1464725760468415,37.738,0.1545189146252083,0.24747739058966753,21.79196,0.08912867
2018-01-01 10:00:00,5.507233015331827,0.1173489383273782,32.646,0.13366962973275082,0.23135960539605435,82.17279,0.33608502
2018-01-01 11:00:00,4.970273747738786,0.0824998835346777,21.282,0.08713952888477616,0.20847000916100444,83.14779,0.34007275
2018-01-01 12:00:00,3.951405030243795,0.0343859880227492,7.694,0.03150322033828906,0.1650374902205571,100.46095,0.41088325
2018-01-01 13:00:00,3.4258397715316793,0.0173038727279033,1.401,0.005736419507920845,0.14263359984538002,37.3094,0.15259467
2018-01-01 14:00:00,2.593513683410446,0.0,0.074,0.00030299432090374195,0.10715305366094816,34.258087,0.14011487
2018-01-01 15:00:00,2.1370153028425554,0.0,0.077,0.00031527787445389366,0.08769335858949169,57.89641,0.23679514
2018-01-01 16:00:00,2.770406120038609,0.0024794194228521,0.002,8.189035700101135e-06,0.11469365626494589,39.42031,0.16122827
2018-01-01 17:00:00,2.5507470546321387,0.0,0.014,5.732324990070794e-05,0.10532999011749213,-8.517485,-0.034836337
2018-01-01 18:00:00,2.93263552893852,0.0057705864743189,0.031,0.00012693005335156758,0.12160920068568977,5.257687,0.021503832
2018-01-01 19:00:00,3.981680444266725,0.0355248322984858,0.28,0.001146464998014159,0.16632807601478358,-8.4347315,-0.03449788
2018-01-01 20:00:00,4.5929523347943695,0.0621898583208642,0.842,0.0034475840297425774,0.1923854841059644,-9.521666,-0.038943417
2018-01-01 21:00:00,4.681323860265799,0.0666619100437495,0.592,0.0024239545672299356,0.19615260138803262,49.76452,0.20353587
2018-01-01 22:00:00,4.84999517025704,0.0756742813936481,1.558,0.006379258810378784,0.20334275232712126,-15.863527,-0.0648815
2018-01-01 23:00:00,4.906017796481032,0.0788111383018836,2.37,0.009704007304619844,0.20573089491388105,65.61726,0.26837328
2018-01-02 00:00:00,5.239421261611184,0.0990459774123033,6.499,0.026610271507478633,0.21994327779052708,76.1447,0.31143028
2018-01-02 01:00:00,5.700861193275602,0.1317740172871788,4.101,0.016791617703057374,0.23961362219090082,111.359276,0.45545715
2018-01-02 02:00:00,5.429949909478885,0.1118733113120553,1.867,0.007644464826044408,0.22806516725981724,71.67266,0.29313973
2018-01-02 03:00:00,4.687074053891279,0.0669587364227943,1.513,0.006195005507126507,0.1963977216761144,53.43183,0.2185351
2018-01-02 04:00:00,4.330847667659809,0.049875929467448,1.308,0.005355629347866142,0.18121243921389033,19.082624,0.078047544
2018-01-02 05:00:00,3.6731365164830616,0.024701408793919,1.784,0.007304619844490212,0.15317540996731527,-22.85973,-0.09349583
2018-01-02 06:00:00,4.22607936457011,0.0453314230258943,0.796,0.0032592362086402518,0.17674635714642883,13.890615,0.056812335
2018-01-02 07:00:00,4.3633845940672815,0.0513301085325963,0.431,0.0017647371933717944,0.18259942916479482,52.945442,0.21654578
2018-01-02 08:00:00,4.321863628153172,0.0494780132708045,0.197,0.0008066200164599617,0.18082946596195548,74.74023,0.305686
2018-01-02 09:00:00,3.4718041106514708,0.0185912166320942,0.004,1.637807140020227e-05,0.14459297596040466,19.10473,0.07813796
2018-01-02 10:00:00,4.208672729687795,0.0445964884681586,0.0,0.0,0.17600434398395354,8.183125,0.033468813
2018-01-02 11:00:00,3.930416129928611,0.0336062332888165,0.0,0.0,0.16414277160291257,-13.029023,-0.053288437
2018-01-02 12:00:00,4.295867884021744,0.0483353637422006,0.011,4.503969635055624e-05,0.17972131470559424,16.24114,0.066425934
2018-01-02 13:00:00,4.728546251403805,0.0691210068687322,2.005,0.008209508289351387,0.1981656059707597,68.887825,0.28174978
2018-01-02 14:00:00,3.6123903120612977,0.0227773552098051,5.866,0.024018441708396624,0.15058590983957038,75.128624,0.30727452
2018-01-02 15:00:00,3.092456836284217,0.0091165660213761,7.557,0.030942271392832135,0.12842209212026573,42.10036,0.17218961
2018-01-02 16:00:00,2.60188036791148,0.0,0.915,0.003746483832796269,0.10750971019266828,80.46996,0.32912052
2018-01-02 17:00:00,2.671309062359456,0.0,0.076,0.0003111833566038431,0.11046932906686056,10.537389,0.043097705
2018-01-02 18:00:00,1.04933006595439,0.0,0.242,0.0009908733197122371,0.041327316683192394,61.6809,0.25227362
2018-01-02 19:00:00,0.7344562413286064,0.0,0.004,1.637807140020227e-05,0.027904818654659425,-27.421305,-0.11215258
2018-01-02 20:00:00,2.00803546563113,0.0,0.0,0.0,0.08219518289086584,25.047525,0.10244387
2018-01-02 21:00:00,3.977301467048655,0.0353590825925032,0.085,0.00034803401725429825,0.1661414081863403,21.141546,0.086468495
2018-01-02 22:00:00,5.0348220014025475,0.0863050046941245,3.681,0.015071920206036137,0.21122158372766386,24.20191,0.098985314
2018-01-02 23:00:00,6.849131890865411,0.2391688158789824,26.144,0.10704707467172202,0.28856231201273275,40.47298,0.16553366
2018-01-03 00:00:00,8.473426463555016,0.4656110664232793,61.743,0.25280781561567217,0.35780303319873175,39.56697,0.1618281
2018-01-03 01:00:00,10.079799569734083,0.7934283730254794,98.027,0.40137330128690696,0.4262797948870113,118.55658,0.48489398
2018-01-03 02:00:00,10.307576392767611,0.8485599872106633,106.166,0.4346985820684685,0.43598950626663,95.98972,0.392596
2018-01-03 03:00:00,10.636927453126592,0.9276551081392928,134.5,0.5507126508318013,0.4500291425038356,142.1235,0.5812822
2018-01-03 04:00:00,9.849367826992475,0.739342209657214,174.594,0.7148782495117287,0.41645690911256966,87.90195,0.35951716
2018-01-03 05:00:00,10.37513512195724,0.8650337363842953,188.846,0.7732333179106494,0.43886941192546236,130.4014,0.533339
2018-01-03 06:00:00,10.382780771665145,0.8668965097792078,164.812,0.6748256759025341,0.43919533205633754,91.422485,0.3739161
2018-01-03 07:00:00,11.27959584095412,1.0,165.337,0.6769752977738106,0.4774249261288079,123.14148,0.50364614
2018-01-03 08:00:00,11.154170358797437,1.0,156.675,0.6415085841566727,0.47207826611673265,120.03538,0.49094224
2018-01-03 09:00:00,11.2561290791781,1.0,121.653,0.49811038001220165,0.47642458078714917,119.83827,0.4901361
2018-01-03 10:00:00,9.409889471360906,0.6428153457373362,54.477,0.22305704891720474,0.39772274672527597,76.23972,0.3118189
2018-01-03 11:00:00,4.2940071030379965,0.0482540690959636,2.807,0.011493311605091941,0.17964199299914382,-1.691181,-0.0069168955
2018-01-03 12:00:00,3.7024753834534714,0.0256553419978313,1.821,0.007456117004942082,0.154426072465342,47.74484,0.19527541
2018-01-03 13:00:00,2.525651889667538,0.0,2.151,0.008807307895458768,0.1042602289118302,32.488438,0.13287705
2018-01-03 14:00:00,2.491717979358436,0.0,0.0,0.0,0.10281368807990916,58.719486,0.2401615
2018-01-03 15:00:00,2.259528130501772,0.0,0.0,0.0,0.09291585744178651,60.81513,0.24873263
2018-01-03 16:00:00,2.103182413613911,0.0,0.0,0.0,0.0862511241023578,10.37504,0.0424337
2018-01-03 17:00:00,2.1411025538976527,0.0,0.0,0.0,0.0878675906625907,44.01236,0.18000965
2018-01-03 18:00:00,5.142190781737826,0.0928604153145675,0.058,0.0002374820353029329,0.21579851940686498,3.911618,0.015998438
2018-01-03 19:00:00,4.4669731256253,0.056098340917976,0.584,0.002391198424429531,0.1870152197192132,74.703636,0.30553633
