method,horizon_hours,direct_reserve_mw,hours,test_start,test_end,revenue_metric,baseload_revenue_metric,wind_only_revenue_metric,constant_output_100mw_revenue_metric,legacy_non_strategic_revenue_metric,raw_realized_revenue_usd,baseload_raw_realized_revenue_usd,wind_only_raw_realized_revenue_usd,constant_output_100mw_raw_realized_revenue_usd,legacy_non_strategic_raw_realized_revenue_usd,cove,baseload_cove,wind_only_cove,constant_output_100mw_cove,legacy_non_strategic_cove,raw_cove,wind_only_raw_cove,constant_output_100mw_raw_cove,improvement_vs_baseload_pct,cove_improvement_vs_wind_only_pct,cove_improvement_vs_100mw_baseload_pct,cove_improvement_vs_legacy_non_strategic_pct,raw_revenue_gain_vs_wind_only_pct,raw_revenue_gain_vs_100mw_baseload_pct,dispatch_cost,wind_only_cost,profit_metric,primary_baseline_storage_duration_h,final_soc,execution_step_hours,replanning_interval_hours,terminal_policy,solver_runtime_seconds,chronological_hour_step_error_count,max_wind_only_violation,max_delivered_definition_violation,max_grid_violation,max_charge_limit_violation,max_discharge_limit_violation,max_available_energy_violation,max_soc_update_violation,max_soc_lower_violation,max_soc_upper_violation,curtailment_negative_count,hourly_revenue_sum_error_usd,annual_soc_target_mwh,annual_soc_target_violation_count,annual_soc_target_max_abs_error
oracle,24,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,9819350.073485963,7968621.481689043,7968621.481689043,5981942.952538653,7465396.091234745,347363020.16187525,278124105.46144235,278124105.46144235,211515621.83184698,262350561.3925888,5.236265599577159,5.340833429947171,5.340833429947171,8.595321855782569,6.887329829727811,0.14802014611699083,0.15302190340312002,0.24308712781922007,1.957893496241213,1.957893496241213,39.08005206280413,23.97248673969637,24.894970748960056,64.22570453828027,51416725.0,42559080.0,-41597374.92651404,10.0,599.9999999999993,24,24,equal-initial,3.8198983669281006,11,0.0,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0,0.0,,0,0.0
oracle,48,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10073630.566094294,7968621.481689043,7968621.481689043,5981942.952538653,7465396.091234745,362925789.8585772,278124105.46144235,278124105.46144235,211515621.83184698,262350561.3925888,5.10409079056937,5.340833429947171,5.340833429947171,8.595321855782569,6.887329829727811,0.14167283350140472,0.15302190340312002,0.24308712781922007,4.432690936405831,4.432690936405831,40.61780493844388,25.89158764346436,30.49059133383578,71.58344462476627,51416725.0,42559080.0,-41343094.433905706,10.0,999.9999999999999,24,24,equal-initial,5.9880595207214355,11,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0,0.0,,0,0.0
oracle,72,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10112687.753542315,7968621.481689043,7968621.481689043,5981942.952538653,7465396.091234745,361321560.3928622,278124105.46144235,278124105.46144235,211515621.83184698,262350561.3925888,5.084377788881055,5.340833429947171,5.340833429947171,8.595321855782569,6.887329829727811,0.1423018458795954,0.15302190340312002,0.24308712781922007,4.801790664882302,4.801790664882302,40.847150645551444,26.177808895759092,29.91378787300185,70.82499971567566,51416725.0,42559080.0,-41304037.24645768,10.0,999.9999999999999,24,24,equal-initial,8.653654098510742,11,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0,0.0,,0,0.0
oracle,168,0.0,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,10116705.89692372,7968621.481689043,7968621.481689043,5981942.952538653,7465396.091234745,363963922.6390175,278124105.46144235,278124105.46144235,211515621.83184698,262350561.3925888,5.082358380669616,5.340833429947171,5.340833429947171,8.595321855782569,6.887329829727811,0.14126874066855122,0.15302190340312002,0.24308712781922007,4.8396013968200435,4.8396013968200435,40.87064491656679,26.20712952162374,30.86385375879457,72.07425129495427,51416725.0,42559080.0,-41300019.10307628,10.0,1000.0,24,24,equal-initial,20.028467416763306,11,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0,0,0.0,,0,0.0
