epoch,train_loss,val_loss
0,9892.789,6769.175
1,5932.04,5952.045
2,5463.2686,5498.536
3,5120.7393,5297.8813
4,4932.744,5154.0283
5,4956.2407,5051.8916
6,4843.2417,4984.3657
7,4762.685,4917.28
8,2869.5796,4900.7666
9,2721.5361,4877.2583
10,2682.9966,4830.6377
