epoch,train_loss,val_model_cove,val_teacher_cove,val_baseload_cove,val_model_improvement_vs_baseload_pct,val_final_soc_mean_pct,val_final_soc_max_pct,lr
0,2.262827856867921,6.6252865193114765,5.187990591323276,7.695152298274653,13.9031137720699,14.79539398307802,100.0,0.001
1,1.1642147372750675,6.487840056367271,5.187990591323276,7.695152298274653,15.689257276663337,13.33045177168212,100.0,0.001
2,0.8625128549688003,6.416376465153935,5.187990591323276,7.695152298274653,16.617940536504207,9.825647641373978,76.73500569661459,0.001
3,0.708427906036377,6.312215510435232,5.187990591323276,7.695152298274653,17.971532391236657,17.37241290300331,100.0,0.001
4,0.5344198264327704,5.574129952910568,5.187990591323276,7.695152298274653,27.563097689952727,78.70743224394326,100.0,0.001
5,0.47435273843653064,6.25305371808665,5.187990591323276,7.695152298274653,18.74035138344616,13.394245213429686,64.76327006022136,0.001
6,0.40459076680389106,5.666580078185141,5.187990591323276,7.695152298274653,26.361690340350286,72.11977833708019,100.0,0.001
7,0.3467624865326227,5.574117379925497,5.187990591323276,7.695152298274653,27.56326107833783,78.7721431648755,100.0,0.001
8,0.32746676633171007,5.554454628510171,5.187990591323276,7.695152298274653,27.818782355281684,78.8429776083356,100.0,0.001
9,0.2670908657943501,5.570916109102995,5.187990591323276,7.695152298274653,27.604862214980958,80.90982359049865,100.0,0.001
10,0.23159441848595938,5.922675094932689,5.187990591323276,7.695152298274653,23.033685814631312,21.881470373908538,97.18348185221353,0.001
11,0.1706258194411502,5.843087570834567,5.187990591323276,7.695152298274653,24.067941161545843,88.71493863817047,100.0,0.001
12,0.15331408118500428,5.754633888540948,5.187990591323276,7.695152298274653,25.217413957730162,47.206478013792974,100.0,0.001
13,0.11600085786160301,5.724636154408903,5.187990591323276,7.695152298274653,25.607240344126314,56.089184167029934,100.0,0.0005
14,0.0827917512141022,5.68411667154253,5.187990591323276,7.695152298274653,26.133798900679604,90.0558721546514,100.0,0.0005
15,0.06967504775407267,5.7251413854182385,5.187990591323276,7.695152298274653,25.600674768946615,91.6572385883539,100.0,0.0005
16,0.06477648662585839,5.849805724230984,5.187990591323276,7.695152298274653,23.980637452197247,92.79447998512285,100.0,0.0005
17,0.06201529590522542,5.817534360272187,5.187990591323276,7.695152298274653,24.400010100169826,90.25284236223696,100.0,0.0005
18,0.05837219076998094,5.843455352300082,5.187990591323276,7.695152298274653,24.063161769907325,88.51133888288955,100.0,0.00025
19,0.053252146597586425,5.872066386815058,5.187990591323276,7.695152298274653,23.691355814599703,89.72944730870864,100.0,0.00025
