sensitivity,value,method,horizon_hours,hours,test_start,test_end,revenue_metric,baseload_revenue_metric,cove,baseload_cove,improvement_vs_baseload_pct,dispatch_cost,profit_metric,final_soc,solver_runtime_seconds,max_wind_only_violation,max_delivered_definition_violation,max_grid_violation,max_charge_limit_violation,max_discharge_limit_violation,max_available_energy_violation,max_soc_update_violation,max_soc_lower_violation,max_soc_upper_violation
storage_duration_hours,10.0,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8067092.166021748,7465407.679195175,6.373637977828625,6.887329829727811,7.4585051768819906,51416725.0,-43349632.83397825,981.3779999999999,4.64934778213501,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
storage_duration_hours,24.0,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8137281.562102033,7134863.365070878,6.377562900329844,7.273583577515989,12.318833868299986,51896025.0,-43758743.437897965,2381.378,4.7251105308532715,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
storage_duration_hours,100.0,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8180230.995572806,6867066.0390105955,6.705241579325254,7.987461411963184,16.05290800801229,54850425.0,-46670194.004427195,4769.454502589502,4.823253631591797,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,7.105427357601002e-15,0.0,0.0,0.0
round_trip_efficiency,0.45,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8122232.4334756415,6925347.288070316,6.389379450175721,7.493635025263887,14.735913496791639,51896025.0,-43773792.56652436,2364.756,5.011013984680176,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,2.842170943040401e-14,0.0,0.0,0.0
round_trip_efficiency,0.55,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8137281.562102033,7134863.365070878,6.377562900329844,7.273583577515989,12.318833868299986,51896025.0,-43758743.437897965,2381.378,4.963760852813721,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
round_trip_efficiency,0.65,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8080719.291013058,7323318.093258375,6.422203659235629,7.086408693318116,9.372942809645965,51896025.0,-43815305.70898694,2381.378,4.829443693161011,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
price_cap_dollars_per_mwh,100.0,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,6074483.940325971,5543816.068841245,8.543281291021923,9.361065438602688,8.736015712575067,51896025.0,-45821541.05967403,2381.378,4.910354375839233,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,3.552713678800501e-15,0.0,0.0,0.0
price_cap_dollars_per_mwh,500.0,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,7309083.262507076,6521220.167755749,7.100209853430953,7.958023753990168,10.779232722560113,51896025.0,-44586941.73749293,2381.378,5.197108745574951,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
price_cap_dollars_per_mwh,1000.0,causal_forecast,48,87432,2014-01-01 00:00:00,2023-12-23 20:00:00,8137281.562102033,7134863.365070878,6.377562900329844,7.273583577515989,12.318833868299986,51896025.0,-43758743.437897965,2381.378,5.548730850219727,2.842170943040401e-14,1.4210854715202004e-14,0.0,0.0,0.0,1.4210854715202004e-14,0.0,0.0,0.0
