time_stamp,power,npower,speed,npreds_12hr,npreds_24hr,npreds_168hr,preds_12hr,preds_24hr,preds_168hr
2018-07-02 23:00:00,90,0.8737864077669902,10.275205845175664,0.8769515,0.9279535,0.88658285,91.55374,96.87834,92.55925
2018-07-03 00:00:00,63,0.6116504854368932,6.454833555161861,0.5163821,0.7199801,0.5840314,53.910294,75.165924,60.972878
2018-07-03 01:00:00,35,0.3398058252427184,5.008506993206282,0.46922624,0.6819687,0.4569679,48.98722,71.19753,47.707447
2018-07-03 02:00:00,16,0.1553398058252427,4.157308630165636,0.31697273,0.5135052,0.31008968,33.091953,53.609947,32.373363
2018-07-03 03:00:00,13,0.1262135922330097,5.418606459200454,0.4962787,0.6882051,0.4531126,51.811497,71.84862,47.304955
2018-07-03 04:00:00,11,0.1067961165048543,8.389239333457736,0.7580533,0.851943,0.70647633,79.14076,88.942856,73.75613
2018-07-03 05:00:00,4,0.0388349514563106,6.100843456197779,0.64288205,0.69901896,0.6005162,67.11689,72.97758,62.693893
2018-07-03 06:00:00,0,0.0,2.0952097551969833,0.25001246,0.27037546,0.1591133,26.101301,28.227198,16.61143
2018-07-03 07:00:00,0,0.0,2.225589409509902,0.0046992004,0.018968225,0.024913833,0.49059653,1.9802827,2.6010041
2018-07-03 08:00:00,0,0.0,1.7708570161573147,-0.037964992,-0.062078726,-0.020802364,-3.9635453,-6.481019,-2.1717668
2018-07-03 09:00:00,0,0.0,2.8179976446392723,0.32604536,0.30647874,0.17950854,34.039135,31.99638,18.740692
2018-07-03 10:00:00,0,0.0,2.074127296474763,0.13937816,0.1037876,0.071897544,14.55108,10.835425,7.5061035
2018-07-03 11:00:00,2,0.0194174757281553,2.134810725093908,0.078191906,0.035858482,0.036691308,8.163235,3.7436256,3.8305726
2018-07-03 12:00:00,22,0.2135922330097087,3.740056741801293,0.08458863,0.042995334,0.057833754,8.831054,4.488713,6.037844
2018-07-03 13:00:00,45,0.4368932038834951,4.827037861742733,0.29928,0.26473153,0.19185475,31.244831,27.637972,20.029636
2018-07-03 14:00:00,32,0.3106796116504854,6.192485665241214,0.2312727,0.17589983,0.17224143,24.14487,18.363943,17.982006
2018-07-03 15:00:00,36,0.3495145631067961,4.785474141197336,0.18220618,0.11646752,0.118836164,19.022326,12.159209,12.406496
2018-07-03 16:00:00,43,0.4174757281553398,4.847463859547652,0.20343417,0.13973802,0.11154383,21.238527,14.58865,11.645176
