gmt,ERA5 wind speed (m/s),MERRA2 wind speed (m/s),HRRR wind speed (m/s),MERRA2 air density (kg/m^3),ERA5 density-corrected wind speed (m/s),MERRA2 density-corrected wind speed (m/s),HRRR density-corrected wind speed (m/s),ERA5 CF (raw),ERA5 CF (density adjusted),ERA5 CF (density and loss adjusted),MERRA2 CF (raw),MERRA2 CF (density adjusted),MERRA2 CF (density and loss adjusted),HRRR CF (raw),HRRR CF (density adjusted),HRRR CF (density and loss adjusted)
2018010100,4.58804967465157,6.637232310035786,7.394263208053395,1.192460690394994,4.547060914374578,6.577936543130337,7.328204271565769,0.0914978973060232,0.0886896732653355,0.082481396136762,0.30598620280441,0.2974811786468141,0.2766574961415371,0.4285657550964015,0.4167979811977649,0.3876221225139213
2018010101,4.730023309064136,7.285121851529313,8.59149654810539,1.1931405869889928,4.688656943949274,7.221409901138048,8.516359712646048,0.10162013700721406,0.09860682086599537,0.09170434340537569,0.4092368228436494,0.3982182433405035,0.37034296630666824,0.680361089587606,0.6622993276978943,0.6159383747590417
2018010102,4.738143394962704,7.421059514154202,8.285596986526132,1.1938204835829918,4.697597966518344,7.357555729563729,8.214695147613202,0.10221789467150955,0.09925362808002114,0.09230587411441965,0.43339969412196466,0.4220005654843966,0.3924605259004888,0.6087989717902011,0.5929468757748124,0.5514405944705755
2018010103,4.458596122648209,7.532078655076904,8.146091955196496,1.1945003801769905,4.421281854883551,7.4690422211796195,8.077916805869183,0.0827993638163722,0.08038381854459886,0.07475695124647694,0.4538017193007302,0.4421432096322164,0.41119318495796126,0.5778661147319395,0.563127838396672,0.523708889708905
2018010104,4.398104459420488,7.4904983678106225,8.264846383024842,1.1970738613753809,4.364426256252462,7.4331403563790035,8.201558851269239,0.07890377975940677,0.07678077158510943,0.07140611757415176,0.44608952678032465,0.4355904817481895,0.4050991480258162,0.6041314430856228,0.5900396578463745,0.5487368817971282
2018010105,4.256598496289343,7.208877649430724,7.343341117033582,1.1996473425737717,4.227028634507577,7.158798809276746,7.2923281821663775,0.07020028553848157,0.06845259225898159,0.06366091080085287,0.396073665600275,0.3875783359026961,0.36044785238950733,0.4194758054369603,0.4104953483359297,0.3817606739524146
2018010106,4.256756485464164,6.772559880912058,5.921762863537618,1.202220823772162,4.230206084073309,6.730317816115578,5.884827421845036,0.07020968847441078,0.06863923092615365,0.06383448476132289,0.3259746368411425,0.3196483370267591,0.29727295343488597,0.21319628010004243,0.2089660024059401,0.19433838223752428
2018010107,3.9592435384203823,6.450222720029899,4.181492508655535,1.2049748998068153,3.937550957275492,6.414882135799839,4.15858223181337,0.05370287314191269,0.052590757097755736,0.04890940410091283,0.27967765517508636,0.27487385472401327,0.2556326848933323,0.06580837973173592,0.06449945402318136,0.059984492241558655
2018010108,3.511249464781007,6.297889666048067,4.29467706000867,1.2077289758414689,3.494669838937008,6.268151917330068,4.274398199309665,0.033112802757083504,0.0324435885172063,0.030172537321001856,0.259344945846989,0.25548830134199174,0.2376041202480523,0.07248673176292786,0.07126403296555095,0.06627555065796238
2018010109,3.0686719473576303,6.287663004970968,4.727222582834152,1.210483051876122,3.0565019089027747,6.262726777875217,4.708474902533137,0.017368528793043625,0.01699495744059809,0.015805310419756222,0.2580145530892537,0.25478864906520204,0.2369534436306379,0.10141443974191766,0.10004382114768195,0.09304075366734421
2018010110,3.462546884840398,6.290324217140518,4.9479056323603885,1.2149860351423027,3.4530860041431253,6.27313686663096,4.934386235671762,0.03116517077423797,0.030793202900445404,0.028637678697414223,0.25836033639878453,0.2561322510752604,0.23820299349999213,0.11838429259973249,0.11729966344334009,0.10908868700230627
2018010111,2.723833251136221,6.286500773272605,3.9611945948812335,1.2194890184084832,2.7197424860681614,6.2770594472468995,3.9552455095362444,0.0,0.0,0.0,0.25786363071645124,0.25663968397545367,0.2386749060971719,0.05380349256887551,0.05349699463943103,0.049752205014670856
2018010112,1.65620908359802,6.359692029652995,2.8709587498234352,1.223992001674664,1.6557546852036573,6.357947181206301,2.8701710720724067,0.0,0.0,0.0,0.2674770715869683,0.2672453001973498,0.24853812918353532,0.011650269030134108,0.011628897459400545,0.010814874637242506
