datetime,power,npower,speed,npreds,preds
2018-07-01 05:00:00,0,1e-15,8.06159199420379,0.7088360244082412,74.0024809482204
2018-07-01 06:00:00,0,1e-15,9.478211066707972,0.9610083338827111,100.32927005735505
2018-07-01 07:00:00,0,1e-15,10.042562898841975,0.9881512615447645,103.16299170527343
2018-07-01 08:00:00,50,0.4854368932038835,9.480451592680366,0.9519497948952274,99.38355858706174
2018-07-01 09:00:00,55,0.5339805825242718,9.033495254898009,0.8977480719138344,93.72489870780431
2018-07-01 10:00:00,47,0.4563106796116505,7.7581164959893,0.5360393135178365,55.96250433126213
2018-07-01 11:00:00,56,0.5436893203883495,7.763483006247468,0.5415463881378006,56.53744292158639
2018-07-01 12:00:00,77,0.7475728155339806,8.005152125474654,0.6402324538521726,66.84026818216682
2018-07-01 13:00:00,79,0.7669902912621359,8.260350141696877,0.6863323735807656,71.65309980183193
2018-07-01 14:00:00,57,0.5533980582524272,5.884813150785181,0.9457827147118091,98.73971541591287
2018-07-01 15:00:00,44,0.4271844660194174,5.622347649539884,0.9128387634575822,95.30036690497158
2018-07-01 16:00:00,58,0.5631067961165048,5.980403360222309,0.9123554746361355,95.24991155201255
2018-07-01 17:00:00,65,0.6310679611650486,6.439725712701326,0.9182656719174775,95.86693614818466
2018-07-01 18:00:00,80,0.7766990291262136,5.772345882018124,0.9366683006460202,97.78817058744453
2018-07-01 19:00:00,89,0.8640776699029126,7.388529090192953,0.9940609624993939,103.77996448493673
2018-07-01 20:00:00,88,0.8543689320388349,7.948748459616206,0.9979416373733527,104.18510694177803
2018-07-01 21:00:00,81,0.7864077669902912,7.759660190475806,0.9964198708103076,104.02623451259612
2018-07-01 22:00:00,66,0.6407766990291263,7.576158000505036,0.9940199742232458,103.77568530890687
2018-07-01 23:00:00,97,0.941747572815534,8.153050198823099,0.9962295985821018,104.00637009197143
2018-07-02 00:00:00,91,0.883495145631068,8.806883966824767,0.9995693510537711,104.3550402500137
2018-07-02 01:00:00,89,0.8640776699029126,10.122346508776518,0.999999105738016,104.39990663904888
2018-07-02 02:00:00,86,0.8349514563106796,9.811165236155416,0.9999977672306919,104.39976689888424
2018-07-02 03:00:00,71,0.6893203883495146,8.934927886348824,0.99986431951267,104.38583495712275
2018-07-02 04:00:00,78,0.7572815533980582,9.591863436329122,0.9999740069057151,104.39728632095667
2018-07-02 05:00:00,82,0.7961165048543689,10.764443016177465,0.9999999291375548,104.39999260196072
2018-07-02 06:00:00,71,0.6893203883495146,10.17134890532402,0.9999965458698882,104.39963938881633
2018-07-02 07:00:00,58,0.5631067961165048,9.49698750825216,0.9998540834875267,104.3847663160978
2018-07-02 08:00:00,90,0.8737864077669902,9.74308548875219,0.9999260672383454,104.39228141968327
2018-07-02 09:00:00,102,0.9902912621359224,10.007578719352797,0.9999873079785134,104.39867495295681
2018-07-02 10:00:00,102,0.9902912621359224,10.08203355192315,0.9999935182584048,104.39932330617746
2018-07-02 11:00:00,97,0.941747572815534,9.74360683052795,0.999983329053705,104.39825955320681
2018-07-02 12:00:00,87,0.8446601941747572,10.385374973988146,0.9999971888740669,104.39970651845259
2018-07-02 13:00:00,82,0.7961165048543689,10.317819652990096,0.9999941404728361,104.3993882653641
2018-07-02 14:00:00,82,0.7961165048543689,8.713518746519084,0.9985711674346528,104.25082988017776
2018-07-02 15:00:00,89,0.8640776699029126,8.35015345835801,0.7668507336967564,80.05921659794137
2018-07-02 16:00:00,98,0.9514563106796116,7.833431587531908,0.6050214348689524,63.16423780031864
2018-07-02 17:00:00,100,0.970873786407767,9.199177646479178,0.9423014689052819,98.37627335371144
2018-07-02 18:00:00,100,0.970873786407767,10.061519038142256,0.9893113383020287,103.2841037187318
2018-07-02 19:00:00,99,0.9611650485436892,9.832932979455531,0.9826742795188367,102.59119478176656
2018-07-02 20:00:00,100,0.970873786407767,11.20882521151574,0.9995560417083651,104.35365075435332
2018-07-02 21:00:00,99,0.9611650485436892,13.144488186931683,0.9999999730549554,104.39999718693734
2018-07-02 22:00:00,86,0.8349514563106796,11.54664075563048,0.9998714971270481,104.38658430006383
2018-07-02 23:00:00,90,0.8737864077669902,10.275205845175664,0.9931552954215442,103.68541284200923
2018-07-03 00:00:00,63,0.6116504854368932,6.454833555161861,0.17886116699328763,18.67310583409923
2018-07-03 01:00:00,35,0.3398058252427184,5.008506993206282,0.06999886761890176,7.307881779413344
2018-07-03 02:00:00,16,0.1553398058252427,4.157308630165636,0.06642905758596288,6.935193611974524
2018-07-03 03:00:00,13,0.1262135922330097,5.418606459200454,0.0733608135206826,7.658868931559264
2018-07-03 04:00:00,11,0.1067961165048543,8.389239333457736,0.7411844876881081,77.37966051463849
2018-07-03 05:00:00,4,0.0388349514563106,6.100843456197779,0.08863535854397786,9.25353143199129
2018-07-03 06:00:00,0,1e-15,2.0952097551969833,0.02166324792952973,2.261643083842904
2018-07-03 07:00:00,0,1e-15,2.225589409509902,0.024636941469508726,2.572096689416711
2018-07-03 08:00:00,0,1e-15,1.7708570161573147,0.008522068396523195,0.8897039405970216
2018-07-03 09:00:00,0,1e-15,2.8179976446392723,0.031114978488390555,3.248403754187974
2018-07-03 10:00:00,0,1e-15,2.074127296474763,0.016835587953018642,1.7576353822951463
2018-07-03 11:00:00,2,0.0194174757281553,2.134810725093908,0.01918528261619762,2.0029435051310314
2018-07-03 12:00:00,22,0.2135922330097087,3.740056741801293,0.05112917920976918,5.337886309499902
2018-07-03 13:00:00,45,0.4368932038834951,4.827037861742733,0.05442296337979978,5.681757376851097
2018-07-03 14:00:00,32,0.3106796116504854,6.192485665241214,0.11178400846385707,11.67025048362668
2018-07-03 15:00:00,36,0.3495145631067961,4.785474141197336,0.06467109308381834,6.751662117950635
2018-07-03 16:00:00,43,0.4174757281553398,4.847463859547652,0.06324529860509982,6.602809174372422
2018-07-03 17:00:00,60,0.5825242718446602,5.449708074614926,0.0659487224728172,6.885046626162117
2018-07-03 18:00:00,52,0.5048543689320388,5.096014513313574,0.05738781079217334,5.991287446702897
2018-07-03 19:00:00,66,0.6407766990291263,5.215678507465441,0.06761384925580896,7.058885862306456
2018-07-03 20:00:00,51,0.4951456310679611,4.884425913499908,0.07649534190056728,7.986113694419225
2018-07-03 21:00:00,33,0.3203883495145631,3.621235275873621,0.07696829876601838,8.035490391172319
2018-07-03 22:00:00,13,0.1262135922330097,4.94813603566212,0.08206335604787866,8.567414371398533
2018-07-03 23:00:00,4,0.0388349514563106,4.106916369892967,0.09069693304873433,9.468759810287864
2018-07-04 00:00:00,1,0.0097087378640776,2.8590992175811207,0.06589328988123035,6.879259463600449
2018-07-04 01:00:00,0,1e-15,2.4682105520404884,0.05099951162550793,5.324349013703028
2018-07-04 02:00:00,2,0.0194174757281553,1.062047209123874,0.00030527450417005116,0.031870658235353344
2018-07-04 03:00:00,2,0.0194174757281553,0.6246460377056702,1.0,104.4
2018-07-04 04:00:00,11,0.1067961165048543,1.7907131323328422,0.026652169830386024,2.782486530292301
2018-07-04 05:00:00,11,0.1067961165048543,4.505780655280492,0.09589846218606855,10.011799452225558
2018-07-04 06:00:00,21,0.203883495145631,4.50084667433957,0.08118632533836326,8.475852365325125
2018-07-04 07:00:00,32,0.3106796116504854,5.659722000032087,0.10275515157115238,10.727637824028308
2018-07-04 08:00:00,26,0.2524271844660194,5.639633973987416,0.09748626410856975,10.177565972934683
2018-07-04 09:00:00,17,0.1650485436893204,5.055205638220529,0.0895785763589963,9.352003371879213
2018-07-04 10:00:00,14,0.1359223300970873,4.736809976695798,0.08571507397789686,8.948653723292432
2018-07-04 11:00:00,20,0.1941747572815534,4.969562176411264,0.0813580658682307,8.493782076643285
2018-07-04 12:00:00,24,0.233009708737864,5.823403581235401,0.10228377622999857,10.678426238411852
2018-07-04 13:00:00,43,0.4174757281553398,6.865946348132515,0.26661346223153404,27.834445456972155
2018-07-04 14:00:00,42,0.4077669902912621,7.400793663071547,0.45783788402975906,47.798275092706845
