time_stamp,power,npower,speed,preds,npreds
2018-07-01 05:00:00,0,0.0,8.06159199420379,45.631878,0.43708694
2018-07-01 06:00:00,0,0.0,9.478211066707972,58.31776,0.55859923
2018-07-01 07:00:00,0,0.0,10.042562898841975,72.82151,0.6975241
2018-07-01 08:00:00,50,0.4854368932038835,9.480451592680366,53.84982,0.51580286
2018-07-01 09:00:00,55,0.5339805825242718,9.033495254898009,62.087574,0.59470856
2018-07-01 10:00:00,47,0.4563106796116505,7.7581164959893,39.646038,0.37975132
2018-07-01 11:00:00,56,0.5436893203883495,7.763483006247468,31.982449,0.30634528
2018-07-01 12:00:00,77,0.7475728155339806,8.005152125474654,54.872906,0.5256025
2018-07-01 13:00:00,79,0.7669902912621359,8.260350141696877,59.643078,0.57129383
2018-07-01 14:00:00,57,0.5533980582524272,5.884813150785181,28.24419,0.2705382
2018-07-01 15:00:00,44,0.4271844660194174,5.622347649539884,15.931918,0.15260458
2018-07-01 16:00:00,58,0.5631067961165048,5.980403360222309,29.151733,0.27923116
2018-07-01 17:00:00,65,0.6310679611650486,6.439725712701326,24.98233,0.23929435
2018-07-01 18:00:00,80,0.7766990291262136,5.772345882018124,23.547674,0.22555244
2018-07-01 19:00:00,89,0.8640776699029126,7.388529090192953,28.173412,0.26986027
2018-07-01 20:00:00,88,0.8543689320388349,7.948748459616206,54.657715,0.52354133
2018-07-01 21:00:00,81,0.7864077669902912,7.759660190475806,64.285355,0.6157601
2018-07-01 22:00:00,66,0.6407766990291263,7.576158000505036,49.228035,0.47153288
2018-07-01 23:00:00,97,0.941747572815534,8.153050198823099,62.98452,0.6033
2018-07-02 00:00:00,91,0.883495145631068,8.806883966824767,71.32485,0.6831882
2018-07-02 01:00:00,89,0.8640776699029126,10.122346508776518,90.55017,0.8673388
2018-07-02 02:00:00,86,0.8349514563106796,9.811165236155416,93.52437,0.8958273
2018-07-02 03:00:00,71,0.6893203883495146,8.934927886348824,82.321175,0.788517
2018-07-02 04:00:00,78,0.7572815533980582,9.591863436329122,91.90925,0.8803568
2018-07-02 05:00:00,82,0.7961165048543689,10.764443016177465,99.01856,0.94845366
2018-07-02 06:00:00,71,0.6893203883495146,10.17134890532402,91.42292,0.87569845
2018-07-02 07:00:00,58,0.5631067961165048,9.49698750825216,83.48508,0.79966545
2018-07-02 08:00:00,90,0.8737864077669902,9.74308548875219,86.56202,0.8291381
2018-07-02 09:00:00,102,0.9902912621359224,10.007578719352797,85.35774,0.8176029
2018-07-02 10:00:00,102,0.9902912621359224,10.08203355192315,91.58213,0.8772235
2018-07-02 11:00:00,97,0.941747572815534,9.74360683052795,88.90077,0.85153997
2018-07-02 12:00:00,87,0.8446601941747572,10.385374973988146,96.87518,0.9279232
2018-07-02 13:00:00,82,0.7961165048543689,10.317819652990096,99.9006,0.95690227
2018-07-02 14:00:00,82,0.7961165048543689,8.713518746519084,90.3946,0.86584866
2018-07-02 15:00:00,89,0.8640776699029126,8.35015345835801,84.093636,0.80549455
2018-07-02 16:00:00,98,0.9514563106796116,7.833431587531908,86.52383,0.82877225
2018-07-02 17:00:00,100,0.970873786407767,9.199177646479178,94.30985,0.90335107
2018-07-02 18:00:00,100,0.970873786407767,10.061519038142256,89.87379,0.86086005
2018-07-02 19:00:00,99,0.9611650485436892,9.832932979455531,86.77834,0.83121014
2018-07-02 20:00:00,100,0.970873786407767,11.20882521151574,103.49595,0.99134046
2018-07-02 21:00:00,99,0.9611650485436892,13.144488186931683,104.4,1.0
