epoch,train_loss,val_loss
0,22561.47,5137.4126
1,3008.7163,2107.145
2,1305.9828,1222.297
3,792.81244,622.271
4,550.23615,308.55984
5,264.78934,265.48196
6,242.65077,220.13087
7,238.79205,221.07164
8,175.66457,221.35144
9,179.55469,221.75499
