window_index,horizon_start_hour,horizon_end_hour,executed_until_hour,initial_soc,soc_after_execution,planned_terminal_soc,objective,runtime_seconds,mip_gap,status
56,1344,1367,1367,1440.0,1440.0,1440.0,2286.972893226047,0.0012469291687011719,0.0,2
57,1368,1391,1391,1440.0,1440.0,1440.0,1395.6629841498502,0.0010950565338134766,0.0,2
58,1392,1415,1415,1440.0,1440.0,1440.0,2179.1047074022777,0.0011949539184570312,0.0,2
59,1416,1439,1439,1440.0,1440.0,1440.0,2347.962145217341,0.0011229515075683594,0.0,2
60,1440,1463,1463,1440.0,1440.0,1440.0,2607.8206641227366,0.001291036605834961,0.0,2
61,1464,1487,1487,1440.0,1440.0,1440.0,414.99389360813586,0.0007619857788085938,0.0,2
62,1488,1511,1511,1440.0,1440.0,1440.0,1684.2540541661815,0.0010018348693847656,0.0,2
63,1512,1535,1535,1440.0,1440.0,1440.0,3012.0852453444654,0.0013089179992675781,0.0,2
64,1536,1559,1559,1440.0,1440.0,1440.0,997.5201772893414,0.0008661746978759766,0.0,2
65,1560,1583,1583,1440.0,1440.0,1440.0,3635.1068865414754,0.0012919902801513672,0.0,2
66,1584,1607,1607,1440.0,1440.0,1440.0,2389.8080182997387,0.0012810230255126953,0.0,2
67,1608,1631,1631,1440.0,1440.0,1440.0,539.5259360181518,0.0010361671447753906,0.0,2
68,1632,1655,1655,1440.0,1440.0,1440.0,1316.0251397077727,0.0013890266418457031,0.0,2
69,1656,1679,1679,1440.0,1440.0,1440.0,379.9284239102245,0.00189208984375,0.0,2
70,1680,1703,1703,1440.0,1440.0,1440.0,1043.4650897086017,0.0010170936584472656,0.0,2
71,1704,1727,1727,1440.0,1440.0,1440.0,3958.3926921248362,0.0026369094848632812,0.0,2
72,1728,1751,1751,1440.0,1440.0,1440.0,1085.2430277903393,0.0016188621520996094,0.0,2
73,1752,1775,1775,1440.0,1440.0,1440.0,1053.849913846507,0.0012760162353515625,0.0,2
74,1776,1799,1799,1440.0,1440.0,1440.0,2815.57272318878,0.0011589527130126953,0.0,2
75,1800,1823,1823,1440.0,1440.0,1440.0,2856.8621578696343,0.0009942054748535156,0.0,2
76,1824,1847,1847,1440.0,1440.0,1440.0,2285.9335544688865,0.001110076904296875,0.0,2
77,1848,1871,1871,1440.0,1440.0,1440.0,2431.3659205973377,0.0008800029754638672,0.0,2
