epoch,train_loss,val_action_mse,val_release_mse_scaled,val_model_cove,val_teacher_cove,val_baseload_cove,val_model_improvement_vs_baseload_pct,lr
0,1.0620985764723558,0.14486956968903542,0.02078334172256291,7.210480293420355,6.910178555243361,11.178137793505467,35.494798627284176,0.001
1,0.655347065283702,0.12913033831864595,0.016594580141827464,7.214999514177072,6.910178555243361,11.178137793505467,35.454369525047284,0.001
2,0.419179774247683,0.12397800199687481,0.014875046326778829,7.276244661686898,6.910178555243361,11.178137793505467,34.906468357239085,0.001
3,0.34364890364500195,0.10732123162597418,0.014203065307810903,7.214036026317901,6.910178555243361,11.178137793505467,35.46298892012874,0.001
4,0.3013692475282229,0.08886971976608038,0.01383075409103185,7.166763670165771,6.910178555243361,11.178137793505467,35.885889022322814,0.001
5,0.2763377852164782,0.08408311568200588,0.01241564261727035,7.194793952508254,6.910178555243361,11.178137793505467,35.635129165356574,0.001
6,0.2579917661272563,0.08356865681707859,0.012180511839687824,7.258609056531119,6.910178555243361,11.178137793505467,35.064237079378344,0.001
7,0.24521145109946912,0.07280834205448627,0.011535845114849508,7.101473377966566,6.910178555243361,11.178137793505467,36.469978191783035,0.001
8,0.22716547376834428,0.06985834520310163,0.01116754102986306,7.122854566264804,6.910178555243361,11.178137793505467,36.278701355755295,0.001
9,0.2128515042937719,0.06289701163768768,0.010543210431933403,7.1113828071960805,6.910178555243361,11.178137793505467,36.38132810164662,0.001
10,0.20587990490289834,0.06628657458350062,0.010874300845898688,7.058659052953855,6.910178555243361,11.178137793505467,36.852996596132876,0.001
11,0.19066992172828087,0.06308708200231194,0.010119742131792009,7.098577226289057,6.910178555243361,11.178137793505467,36.49588726296295,0.001
12,0.1748713220541294,0.05661535914987326,0.009926840313710272,7.074999962108775,6.910178555243361,11.178137793505467,36.706810268349244,0.001
13,0.17747941383948693,0.05982118798419833,0.010052669909782708,7.060574538549277,6.910178555243361,11.178137793505467,36.8358605969995,0.001
14,0.1624240860916101,0.05139495059847832,0.009607348241843283,7.049056549897259,6.910178555243361,11.178137793505467,36.93890091431166,0.001
15,0.15690605371044233,0.05404244642704725,0.010620012180879712,7.038659920117476,6.910178555243361,11.178137793505467,37.03190951710258,0.001
16,0.15771531542906395,0.05478679155930877,0.012306473567150533,7.081598939931765,6.910178555243361,11.178137793505467,36.64777558882665,0.001
17,0.1699627895767872,0.0519366255030036,0.009349307976663113,7.141093989391059,6.910178555243361,11.178137793505467,36.11553085756326,0.001
18,0.14693301658217722,0.049715626053512096,0.00935488916002214,7.132504267197696,6.910178555243361,11.178137793505467,36.19237480377364,0.001
19,0.14131133544903535,0.04576073307543993,0.009059315780177712,7.055062380747135,6.910178555243361,11.178137793505467,36.885172547737355,0.001
20,0.1402019116167839,0.046507985796779394,0.009957621339708567,7.045425668920849,6.910178555243361,11.178137793505467,36.97138289873056,0.0005
21,0.1381846978687323,0.04345971159636974,0.008582838519942015,7.075956894899847,6.910178555243361,11.178137793505467,36.69824951512943,0.0005
22,0.13170695075621972,0.04232835117727518,0.008613556099589914,7.064922814062635,6.910178555243361,11.178137793505467,36.79696077671025,0.0005
23,0.12984724084918314,0.044190492015331984,0.00893325766082853,7.06040949507158,6.910178555243361,11.178137793505467,36.837337081551276,0.0005
24,0.1295462646163427,0.043650208972394466,0.008564912946894765,7.115850610158534,6.910178555243361,11.178137793505467,36.34135898474193,0.0005
25,0.12759807591254896,0.047145807184278965,0.008810278552118689,7.155226429430165,6.910178555243361,11.178137793505467,35.98910156942801,0.00025
26,0.12641953791563326,0.04233401361852884,0.008571143669541925,7.054183288606702,6.910178555243361,11.178137793505467,36.893036935855235,0.00025
27,0.12327054658761391,0.04091555951163173,0.008493788773193955,7.048030935346203,6.910178555243361,11.178137793505467,36.94807609688681,0.00025
28,0.12139572346439728,0.0394902341067791,0.008306939620524645,7.04433152874919,6.910178555243361,11.178137793505467,36.98117111383286,0.00025
29,0.12115813705783623,0.040931026451289654,0.008327178948093206,7.08947906778247,6.910178555243361,11.178137793505467,36.57727969768382,0.00025
